"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16864-62497","RB","David","","Johnson","21.837499618530273","8","9400","SF@ARI","ARI","SF","","","",""
"16864-6894","QB","Aaron","","Rodgers","23.0575008392334","8","9000","GB@TEN","GB","TEN","","","",""
"16864-38791","RB","Ezekiel","","Elliott","19.075000762939453","8","8900","DAL@PIT","DAL","PIT","","","",""
"16864-14190","WR","Julio","","Jones","16.944444444444443","9","8800","ATL@PHI","ATL","PHI","","","",""
"16864-6616","QB","Matt","","Ryan","23.788889567057293","9","8600","ATL@PHI","ATL","PHI","","","",""
"16864-11612","WR","Antonio","","Brown","16.637500762939453","8","8600","DAL@PIT","PIT","DAL","","","",""
"16864-32384","WR","Mike","","Evans","19","8","8500","CHI@TB","TB","CHI","Q","Concussion","",""
"16864-6498","QB","Tom","","Brady","26.290000915527344","4","8300","SEA@NE","NE","SEA","","","",""
"16864-28900","RB","Melvin","","Gordon","20.13333299424913","9","8300","MIA@SD","SD","MIA","","","",""
"16864-6504","QB","Drew","","Brees","23.9325008392334","8","8200","DEN@NO","NO","DEN","","","",""
"16864-28181","RB","Le'Veon","","Bell","17.18000030517578","5","8100","DAL@PIT","PIT","DAL","","","",""
"16864-7968","QB","Philip","","Rivers","17.666666666666668","9","8100","MIA@SD","SD","MIA","","","",""
"16864-11460","TE","Rob","","Gronkowski","12.90000025431315","6","8000","SEA@NE","NE","SEA","","","",""
"16864-6748","QB","Carson","","Palmer","16.217142377580917","7","7900","SF@ARI","ARI","SF","","","",""
"16864-14185","QB","Cam","","Newton","20.002857753208705","7","7800","KC@CAR","CAR","KC","","","",""
"16864-46882","RB","Jay","","Ajayi","15.842857360839844","7","7800","MIA@SD","MIA","SD","","","",""
"16864-39580","RB","Devontae","","Booker","6.466666751437717","9","7800","DEN@NO","DEN","NO","","","",""
"16864-24849","QB","Jameis","","Winston","19.047500610351562","8","7800","CHI@TB","TB","CHI","Q","Knee","",""
"16864-6589","QB","Ben","","Roethlisberger","21.008571079799108","7","7700","DAL@PIT","PIT","DAL","","","",""
"16864-31716","QB","Dak","","Prescott","19.912500381469727","8","7700","DAL@PIT","DAL","PIT","","","",""
"16864-6893","WR","Jordy","","Nelson","13.737500190734863","8","7700","GB@TEN","GB","TEN","","","",""
"16864-11432","WR","Demaryius","","Thomas","11.622222052680122","9","7500","DEN@NO","DEN","NO","","","",""
"16864-11435","WR","Dez","","Bryant","9.640000152587891","5","7500","DAL@PIT","DAL","PIT","","","",""
"16864-22037","RB","Lamar","","Miller","13.137499809265137","8","7500","HOU@JAC","HOU","JAC","","","",""
"16864-22015","QB","Russell","","Wilson","13.325714111328125","7","7400","SEA@NE","SEA","NE","","","",""
"16864-16606","WR","DeAndre","","Hopkins","10.175000190734863","8","7400","HOU@JAC","HOU","JAC","","","",""
"16864-14254","RB","DeMarco","","Murray","19.200000339084202","9","7400","GB@TEN","TEN","GB","","","",""
"16864-29358","QB","Marcus","","Mariota","19.44222174750434","9","7400","GB@TEN","TEN","GB","","","",""
"16864-14231","QB","Colin","","Kaepernick","18.806666056315105","3","7300","SF@ARI","SF","ARI","","","",""
"16864-29501","WR","Brandin","","Cooks","14","8","7300","DEN@NO","NO","DEN","","","",""
"16864-31459","RB","Spencer","","Ware","14.700000217982701","7","7300","KC@CAR","KC","CAR","NA","Concussion","",""
"16864-34308","QB","Blake","","Bortles","19.517499923706055","8","7300","HOU@JAC","JAC","HOU","","","",""
"16864-7659","QB","Ryan","","Fitzpatrick","12.164444817437065","9","7200","LA@NYJ","NYJ","LA","Q","Knee","",""
"16864-21980","WR","Alshon","","Jeffery","10.287500381469727","8","7200","CHI@TB","CHI","TB","","","",""
"16864-21948","QB","Ryan","","Tannehill","13.947500228881836","8","7200","MIA@SD","MIA","SD","","","",""
"16864-45889","WR","Davante","","Adams","12.8125","8","7200","GB@TEN","GB","TEN","","","",""
"16864-28434","QB","Trevor","","Siemian","13.350000381469727","8","7200","DEN@NO","DEN","NO","","","",""
"16864-6914","TE","Greg","","Olsen","13.725000381469727","8","7200","KC@CAR","CAR","KC","","","",""
"16864-6883","WR","Larry","","Fitzgerald","14.237500190734863","8","7200","SF@ARI","ARI","SF","Q","Ankle","",""
"16864-6899","RB","Matt","","Forte","15.188888549804688","9","7100","LA@NYJ","NYJ","LA","","","",""
"16864-22038","QB","Kirk","","Cousins","18.44499969482422","8","7100","MIN@WAS","WAS","MIN","","","",""
"16864-6759","WR","Brandon","","Marshall","10.055555555555555","9","7100","LA@NYJ","NYJ","LA","","","",""
"16864-30447","RB","Todd","","Gurley","11.625","8","7000","LA@NYJ","LA","NYJ","","","",""
"16864-32418","RB","Christine","","Michael","13.900000435965401","7","7000","SEA@NE","SEA","NE","","","",""
"16864-28643","WR","Allen","","Robinson","10.962499618530273","8","7000","HOU@JAC","JAC","HOU","","","",""
"16864-30298","TE","Jordan","","Reed","13.416666666666666","6","7000","MIN@WAS","WAS","MIN","","","",""
"16864-11414","QB","Sam","","Bradford","14.342857360839844","7","7000","MIN@WAS","MIN","WAS","","","",""
"16864-6898","QB","Jay","","Cutler","10.133333206176758","3","7000","CHI@TB","CHI","TB","","","",""
"16864-24920","RB","Devonta","","Freeman","14.222222222222221","9","7000","ATL@PHI","ATL","PHI","","","",""
"16864-24929","WR","Kelvin","","Benjamin","12.037500381469727","8","7000","KC@CAR","CAR","KC","","","",""
"16864-21994","QB","Brock","","Osweiler","12.307499885559082","8","6900","HOU@JAC","HOU","JAC","","","",""
"16864-11505","WR","Emmanuel","","Sanders","11.544444613986546","9","6900","DEN@NO","DEN","NO","","","",""
"16864-14626","WR","Doug","","Baldwin","11.242856706891741","7","6900","SEA@NE","SEA","NE","","","",""
"16864-42142","RB","Jordan","","Howard","13.599999564034599","7","6900","CHI@TB","CHI","TB","","","",""
"16864-28473","RB","Carlos","","Hyde","15.333333333333334","6","6800","SF@ARI","SF","ARI","NA","Shoulder","",""
"16864-70324","QB","Carson","","Wentz","13.774999618530273","8","6800","ATL@PHI","PHI","ATL","","","",""
"16864-31394","WR","Jarvis","","Landry","11.600000381469727","8","6800","MIA@SD","MIA","SD","","","",""
"16864-6733","RB","Jonathan","","Stewart","11.240000152587891","5","6800","KC@CAR","CAR","KC","","","",""
"16864-6639","QB","Tony","","Romo","11.914999961853027","4","6700","DAL@PIT","DAL","PIT","NA","Back","",""
"16864-8005","QB","Alex","","Smith","14.374286106654576","7","6700","KC@CAR","KC","CAR","NA","Head","",""
"16864-25079","WR","Stefon","","Diggs","13.085714067731585","7","6700","MIN@WAS","MIN","WAS","","","",""
"16864-14336","RB","Jacquizz","","Rodgers","9.266666412353516","6","6700","CHI@TB","TB","CHI","NA","Foot","",""
"16864-14257","WR","Randall","","Cobb","11.714285714285714","7","6600","GB@TEN","GB","TEN","","","",""
"16864-22994","QB","Case","","Keenum","14.145000457763672","8","6600","LA@NYJ","LA","NYJ","","","",""
"16864-11512","TE","Jimmy","","Graham","9.02857153756278","7","6600","SEA@NE","SEA","NE","","","",""
"16864-21970","RB","Doug","","Martin","7.199999809265137","2","6500","CHI@TB","TB","CHI","NA","Hamstring","",""
"16864-7283","WR","Jeremy","","Maclin","8.0625","8","6500","KC@CAR","KC","CAR","Q","Groin","",""
"16864-22288","WR","Cole","","Beasley","12.012499809265137","8","6500","DAL@PIT","DAL","PIT","","","",""
"16864-22027","QB","Nick","","Foles","14","2","6500","KC@CAR","KC","CAR","","","",""
"16864-6535","WR","Kenny","","Britt","11.612500190734863","8","6400","LA@NYJ","LA","NYJ","","","",""
"16864-11779","RB","LeGarrette","","Blount","14.875","8","6400","SEA@NE","NE","SEA","","","",""
"16864-28573","WR","Michael","","Thomas","13.850000381469727","8","6400","DEN@NO","NO","DEN","","","",""
"16864-44449","WR","Willie","","Snead","11.142857142857142","7","6400","DEN@NO","NO","DEN","","","",""
"16864-33076","TE","Travis","","Kelce","10.125","8","6300","KC@CAR","KC","CAR","","","",""
"16864-14211","RB","Mark","","Ingram","13.300000190734863","8","6300","DEN@NO","NO","DEN","","","",""
"16864-42028","WR","Will","","Fuller","9.67142813546317","7","6300","HOU@JAC","HOU","JAC","Q","Leg","",""
"16864-54606","WR","John","","Brown","7.857142857142857","7","6200","SF@ARI","ARI","SF","","","",""
"16864-6828","RB","Tim","","Hightower","4.712500095367432","8","6200","DEN@NO","NO","DEN","","","",""
"16864-6863","TE","Delanie","","Walker","10.6875","8","6200","GB@TEN","TEN","GB","","","",""
"16864-29734","RB","Ty","","Montgomery","5.942856924874442","7","6200","GB@TEN","GB","TEN","","","",""
"16864-6739","WR","DeSean","","Jackson","7.824999809265137","8","6100","MIN@WAS","WAS","MIN","Q","Head","",""
"16864-32514","QB","Trevone","","Boykin","5.400000095367432","1","6000","SEA@NE","SEA","NE","","","",""
"16864-21959","QB","Brandon","","Weeden","11.403333028157553","6","6000","HOU@JAC","HOU","JAC","","","",""
"16864-14194","QB","Blaine","","Gabbert","15.539999389648438","5","6000","SF@ARI","SF","ARI","","","",""
"16864-29605","QB","Matt","","Barkley","1.1399999856948853","1","6000","CHI@TB","CHI","TB","","","",""
"16864-54687","RB","Charcandrick","","West","4.828571319580078","7","6000","KC@CAR","KC","CAR","","","",""
"16864-27405","QB","Landry","","Jones","3.484999895095825","4","6000","DAL@PIT","PIT","DAL","","","",""
"16864-30231","QB","Jacoby","","Brissett","9.433333079020182","3","6000","SEA@NE","NE","SEA","IR","Thumb","",""
"16864-25410","QB","Mike","","Glennon","9","1","6000","CHI@TB","TB","CHI","","","",""
"16864-54604","QB","Jimmy","","Garoppolo","8.859999656677246","4","6000","SEA@NE","NE","SEA","","","",""
"16864-38435","QB","Jared","","Goff","0","0","6000","LA@NYJ","LA","NYJ","","","",""
"16864-24755","WR","Jamison","","Crowder","12.362500190734863","8","6000","MIN@WAS","WAS","MIN","","","",""
"16864-7872","QB","Brian","","Hoyer","13.266666412353516","6","6000","CHI@TB","CHI","TB","IR","Forearm","",""
"16864-6844","QB","Shaun","","Hill","10.239999771118164","1","6000","MIN@WAS","MIN","WAS","","","",""
"16864-7859","WR","Julian","","Edelman","8.024999618530273","8","6000","SEA@NE","NE","SEA","","","",""
"16864-6679","QB","Matt","","Schaub","-0.20000000298023224","1","6000","ATL@PHI","ATL","PHI","","","",""
"16864-33463","QB","Paxton","","Lynch","12.0600004196167","2","6000","DEN@NO","DEN","NO","","","",""
"16864-7744","QB","Drew","","Stanton","3.265000104904175","4","6000","SF@ARI","ARI","SF","","","",""
"16864-7778","QB","Matt","","Cassel","0.25","2","6000","GB@TEN","TEN","GB","","","",""
"16864-14704","WR","Chris","","Hogan","7.349999904632568","8","5900","SEA@NE","NE","SEA","","","",""
"16864-62535","WR","Tyrell","","Williams","10.722222222222221","9","5900","MIA@SD","SD","MIA","","","",""
"16864-30837","WR","Jordan","","Matthews","11.212499618530273","8","5900","ATL@PHI","PHI","ATL","","","",""
