Year,Week,Name,Pos,Team,Opp,H_A,Salary
2016,9,Melvin Gordon,RB,SD,TEN,1,7800
2016,9,Latavius Murray,RB,OAK,DEN,1,6000
2016,9,Mark Ingram,RB,NO,SF,0,6700
2016,9,Ezekiel Elliott,RB,DAL,CLE,0,9200
2016,9,DuJuan Harris,RB,SF,NO,1,4500
2016,9,Jay Ajayi,RB,MIA,NYJ,1,7100
2016,9,Frank Gore,RB,IND,GB,0,6300
2016,9,DeMarco Murray,RB,TEN,SD,0,8100
2016,9,Tim Hightower,RB,NO,SF,0,6100
2016,9,Matt Forte,RB,NYJ,MIA,0,7500
2016,9,Kapri Bibbs,RB,DEN,OAK,0,4500
2016,9,LeSean McCoy,RB,BUF,SEA,0,7400
2016,9,T.J. Yeldon,RB,JAC,KC,0,5600
2016,9,Devonta Freeman,RB,ATL,TB,0,7600
2016,9,Ty Montgomery,RB,GB,IND,1,6500
2016,9,Mike Gillislee,RB,BUF,SEA,0,5900
2016,9,Le'Veon Bell,RB,PIT,BAL,0,8700
2016,9,Todd Gurley,RB,LARM,CAR,1,7600
2016,9,Chris Ivory,RB,JAC,KC,0,5000
2016,9,Charcandrick West,RB,KC,JAC,1,5600
2016,9,Isaiah Crowell,RB,CLE,DAL,1,6000
2016,9,Darren Sproles,RB,PHI,NYG,0,4800
2016,9,Jalen Richard,RB,OAK,DEN,1,5000
2016,9,Theo Riddick,RB,DET,MIN,0,6600
2016,9,Ryan Mathews,RB,PHI,NYG,0,5300
2016,9,Peyton Barber,RB,TB,ATL,1,5300
2016,9,Bilal Powell,RB,NYJ,MIA,0,5400
2016,9,Kenyan Drake,RB,MIA,NYJ,1,4500
2016,9,Benny Cunningham,RB,LARM,CAR,1,4500
2016,9,Ronnie Hillman,RB,SD,TEN,1,4500
2016,9,Patrick DiMarco,RB,ATL,TB,0,4500
2016,9,Kenjon Barner,RB,PHI,NYG,0,4600
2016,9,Paul Perkins,RB,NYG,PHI,1,4500
2016,9,Christine Michael,RB,GB,IND,1,7500
2016,9,Jordan Todman,RB,IND,GB,0,4500
2016,9,Damien Williams,RB,MIA,NYJ,1,4500
2016,9,Duke Johnson,RB,CLE,DAL,1,5200
2016,9,Alfred Morris,RB,DAL,CLE,0,4600
2016,9,Rashad Jennings,RB,NYG,PHI,1,5400
2016,9,Matt Asiata,RB,MIN,DET,1,6000
2016,9,Antone Smith,RB,TB,ATL,1,5400
2016,9,Jonathan Stewart,RB,CAR,LARM,0,6400
2016,9,DeAndre Washington,RB,OAK,DEN,1,5200
2016,9,Devontae Booker,RB,DEN,OAK,0,7000
2016,9,Mike James,RB,TB,ATL,1,0
2016,9,Robert Turbin,RB,IND,GB,0,4500
2016,9,Terrance West,RB,BAL,PIT,1,6400
2016,9,Reggie Bush,RB,BUF,SEA,0,5200
2016,9,Terron Ward,RB,ATL,TB,0,5100
2016,9,Dwayne Washington,RB,DET,MIN,0,4500
2016,9,Wendell Smallwood,RB,PHI,NYG,0,4800
2016,9,Kenneth Farrow,RB,SD,TEN,1,4500
2016,9,John Kuhn,RB,NO,SF,0,4500
2016,9,Kenneth Dixon,RB,BAL,PIT,1,4900
2016,9,Knile Davis,RB,KC,JAC,1,5500
2016,9,C.J. Prosise,RB,SEA,BUF,1,4700
2016,9,Don Jackson,RB,GB,IND,1,5500
2016,9,Antonio Andrews,RB,TEN,SD,0,4500
2016,9,Josh Ferguson,RB,IND,GB,0,4500
2016,9,Aaron Ripkowski,RB,GB,IND,1,4500
2016,9,Anthony Sherman,RB,KC,JAC,1,4500
2016,9,Travaris Cadet,RB,NO,SF,0,4500
2016,9,Jerick McKinnon,RB,MIN,DET,1,6200
2016,9,Stevan Ridley,RB,ATL,TB,0,4500
2016,9,Fozzy Whittaker,RB,CAR,LARM,0,4700
2016,9,Mike Davis,RB,SF,NO,1,4900
2016,9,Jamize Olawale,RB,OAK,DEN,1,4500
2016,9,Jerome Felton,RB,BUF,SEA,0,4500
2016,9,Kyle Juszczyk,RB,BAL,PIT,1,4500
2016,9,DeAngelo Williams,RB,PIT,BAL,0,4900
2016,9,Mike Tolbert,RB,CAR,LARM,0,4500
2016,9,Lance Dunbar,RB,DAL,CLE,0,4500
2016,9,Will Tukuafu,RB,SEA,BUF,1,4500
2016,9,Michael Burton,RB,DET,MIN,0,4500
2016,9,Zach Line,RB,MIN,DET,1,4500
2016,9,Orleans Darkwa,RB,NYG,PHI,1,4600
2016,9,Denard Robinson,RB,JAC,KC,0,4500
2016,9,Malcolm Brown,RB,LARM,CAR,1,4500
2016,9,Chase Reynolds,RB,LARM,CAR,1,4500
2016,9,C.J. Spiller,RB,NYJ,MIA,0,4600
2016,9,Bobby Rainey,RB,NYG,PHI,1,4600
2016,9,Javorius Allen,RB,BAL,PIT,1,4700
2016,9,Zach Zenner,RB,DET,MIN,0,5100
2016,9,Derek Watt,RB,SD,TEN,1,4500
2016,9,Juwan Thompson,RB,DEN,OAK,0,4500
2016,9,George Atkinson,RB,CLE,DAL,1,4500
2016,9,Shaun Draughn,RB,SF,NO,1,4700
2016,9,Taiwan Jones,RB,OAK,DEN,1,4500
2016,9,Alex Collins,RB,SEA,BUF,1,4500
2016,9,Lorenzo Taliaferro,RB,BAL,PIT,1,4500
2016,9,Jonathan Williams,RB,BUF,SEA,0,4500
2016,9,Andy Janovich,RB,DEN,OAK,0,4500
2016,9,Jalston Fowler,RB,TEN,SD,0,4500
2016,9,Fitzgerald Toussaint,RB,PIT,BAL,0,4500
2016,9,Mike Evans,WR,TB,ATL,1,8300
2016,9,Michael Thomas,WR,NO,SF,0,5800
2016,9,Rishard Matthews,WR,TEN,SD,0,5400
2016,9,Robert Woods,WR,BUF,SEA,0,5400
2016,9,Julio Jones,WR,ATL,TB,0,9000
2016,9,Mike Wallace,WR,BAL,PIT,1,6600
2016,9,Golden Tate,WR,DET,MIN,0,6400
2016,9,Jordy Nelson,WR,GB,IND,1,8200
2016,9,Odell Beckham Jr.,WR,NYG,PHI,1,8900
2016,9,Antonio Brown,WR,PIT,BAL,0,8700
2016,9,Allen Robinson,WR,JAC,KC,0,6700
2016,9,Taylor Gabriel,WR,ATL,TB,0,4600
2016,9,Stefon Diggs,WR,MIN,DET,1,6500
2016,9,Tyrell Williams,WR,SD,TEN,1,5600
2016,9,Cole Beasley,WR,DAL,CLE,0,6300
2016,9,Quinton Patton,WR,SF,NO,1,4600
2016,9,Jalin Marshall,WR,NYJ,MIA,0,4500
2016,9,Eli Rogers,WR,PIT,BAL,0,4800
2016,9,Terrelle Pryor,WR,CLE,DAL,1,7000
2016,9,Adam Humphries,WR,TB,ATL,1,5300
2016,9,Donte Moncrief,WR,IND,GB,0,6100
2016,9,Kenny Britt,WR,LARM,CAR,1,6000
2016,9,Jordan Norwood,WR,DEN,OAK,0,4500
2016,9,Sterling Shepard,WR,NYG,PHI,1,5600
2016,9,Davante Adams,WR,GB,IND,1,7100
2016,9,Doug Baldwin,WR,SEA,BUF,1,7000
2016,9,Jordan Matthews,WR,PHI,NYG,0,5800
2016,9,Marqise Lee,WR,JAC,KC,0,4800
2016,9,Albert Wilson,WR,KC,JAC,1,4500
2016,9,T.Y. Hilton,WR,IND,GB,0,7600
2016,9,Kelvin Benjamin,WR,CAR,LARM,0,7400
2016,9,Mohamed Sanu,WR,ATL,TB,0,5400
2016,9,Roger Lewis,WR,NYG,PHI,1,4500
2016,9,Brandin Cooks,WR,NO,SF,0,7600
2016,9,Adam Thielen,WR,MIN,DET,1,5400
2016,9,Steve Smith,WR,BAL,PIT,1,5500
2016,9,Amari Cooper,WR,OAK,DEN,1,7700
2016,9,Dontrelle Inman,WR,SD,TEN,1,5500
2016,9,Randall Cobb,WR,GB,IND,1,6900
2016,9,Demaryius Thomas,WR,DEN,OAK,0,7400
2016,9,Anquan Boldin,WR,DET,MIN,0,5700
2016,9,Bryce Treggs,WR,PHI,NYG,0,4500
2016,9,Tajae Sharpe,WR,TEN,SD,0,4700
2016,9,Cordarrelle Patterson,WR,MIN,DET,1,5400
2016,9,Brandon Marshall,WR,NYJ,MIA,0,7500
2016,9,Kendall Wright,WR,TEN,SD,0,4900
2016,9,Emmanuel Sanders,WR,DEN,OAK,0,6800
2016,9,Justin Hunter,WR,BUF,SEA,0,5300
2016,9,Robby Anderson,WR,NYJ,MIA,0,
2016,9,Brian Quick,WR,LARM,CAR,1,4500
2016,9,Ted Ginn Jr.,WR,CAR,LARM,0,5500
2016,9,Marquise Goodwin,WR,BUF,SEA,0,5300
2016,9,Nelson Agholor,WR,PHI,NYG,0,5200
2016,9,Harry Douglas,WR,TEN,SD,0,4500
2016,9,Corey Coleman,WR,CLE,DAL,1,5600
2016,9,Willie Snead,WR,NO,SF,0,6500
2016,9,Victor Cruz,WR,NYG,PHI,1,5200
2016,9,Jarvis Landry,WR,MIA,NYJ,1,7600
2016,9,Breshad Perriman,WR,BAL,PIT,1,5400
2016,9,Seth Roberts,WR,OAK,DEN,1,5400
2016,9,Tyreek Hill,WR,KC,JAC,1,4700
2016,9,Jermaine Kearse,WR,SEA,BUF,1,4500
2016,9,Chris Conley,WR,KC,JAC,1,4500
2016,9,Phillip Dorsett,WR,IND,GB,0,5000
2016,9,Michael Crabtree,WR,OAK,DEN,1,7000
2016,9,Jeremy Kerley,WR,SF,NO,1,5300
2016,9,Andre Holmes,WR,OAK,DEN,1,4500
2016,9,Tyler Lockett,WR,SEA,BUF,1,5100
2016,9,Brandon Coleman,WR,NO,SF,0,4600
2016,9,Devin Funchess,WR,CAR,LARM,0,4700
2016,9,Andre Roberts,WR,DET,MIN,0,4500
2016,9,Jeff Janis,WR,GB,IND,1,4500
2016,9,Quincy Enunwa,WR,NYJ,MIA,0,6400
2016,9,Terrance Williams,WR,DAL,CLE,0,5500
2016,9,Torrey Smith,WR,SF,NO,1,5300
2016,9,Cecil Shorts,WR,TB,ATL,1,4500
2016,9,Dez Bryant,WR,DAL,CLE,0,7800
2016,9,Andrew Hawkins,WR,CLE,DAL,1,4500
2016,9,Tavon Austin,WR,LARM,CAR,1,5600
2016,9,Arrelious Benn,WR,JAC,KC,0,4500
2016,9,Laquon Treadwell,WR,MIN,DET,1,4500
2016,9,Paul Richardson,WR,SEA,BUF,1,4500
2016,9,DeVante Parker,WR,MIA,NYJ,1,5900
2016,9,Corey Brown,WR,CAR,LARM,0,4700
2016,9,Kenny Stills,WR,MIA,NYJ,1,6000
2016,9,Brice Butler,WR,DAL,CLE,0,5300
2016,9,Freddie Martino,WR,TB,ATL,1,4500
2016,9,Kamar Aiken,WR,BAL,PIT,1,5300
2016,9,Walter Powell,WR,BUF,SEA,0,4500
2016,9,Charles Johnson,WR,MIN,DET,1,4700
2016,9,Jordan Taylor,WR,DEN,OAK,0,4500
2016,9,Marvin Jones,WR,DET,MIN,0,7200
2016,9,Travis Benjamin,WR,SD,TEN,1,6000
2016,9,Jeremy Butler,WR,SD,TEN,1,0
2016,9,Bennie Fowler,WR,DEN,OAK,0,4700
2016,9,Pharoh Cooper,WR,LARM,CAR,1,4500
2016,9,Chris Moore,WR,BAL,PIT,1,4500
2016,9,Lucky Whitehead,WR,DAL,CLE,0,4500
2016,9,Marc Mariani,WR,TEN,SD,0,4500
2016,9,Jeremy Maclin,WR,KC,JAC,1,6700
2016,9,Darrius Heyward-Bey,WR,PIT,BAL,0,5200
2016,9,Bradley Marquez,WR,LARM,CAR,1,4500
2016,9,Eric Weems,WR,ATL,TB,0,4500
2016,9,Allen Hurns,WR,JAC,KC,0,5900
2016,9,Ricardo Louis,WR,CLE,DAL,1,4500
2016,9,Griff Whalen,WR,NE,-,1,4500
2016,9,De'Anthony Thomas,WR,KC,JAC,1,4500
2016,9,Demarcus Robinson,WR,KC,JAC,1,4500
2016,9,Chester Rogers,WR,IND,GB,0,4500
2016,9,Mike Thomas,WR,LARM,CAR,1,4500
2016,9,Jake Lampman,WR,NO,SF,0,4500
2016,9,Geronimo Allison,WR,GB,IND,1,5200
2016,9,Rashard Higgins,WR,CLE,DAL,1,4500
2016,9,Charone Peake,WR,NYJ,MIA,0,4500
2016,9,Isaiah Burse,WR,SD,TEN,1,4500
2016,9,Dorial Green-Beckham,WR,PHI,NYG,0,5000
2016,9,Brenton Bersin,WR,CAR,LARM,0,4500
2016,9,Sammie Coates,WR,PIT,BAL,0,5500
2016,9,Devin Street,WR,IND,GB,0,4500
2016,9,Leonte Carroo,WR,MIA,NYJ,1,4500
2016,9,Aldrick Robinson,WR,ATL,TB,0,4500
2016,9,Rod Streater,WR,SF,NO,1,4500
2016,9,Devin Hester,WR,BAL,PIT,1,4500
2016,9,Aaron Burbridge,WR,SF,NO,1,4500
2016,9,Cobi Hamilton,WR,PIT,BAL,0,4500
2016,9,Jakeem Grant,WR,MIA,NYJ,1,4500
2016,9,Justin Hardy,WR,ATL,TB,0,4500
2016,9,Trevor Davis,WR,GB,IND,1,5100
2016,9,Dwayne Harris,WR,NYG,PHI,1,4500
2016,9,Tanner McEvoy,WR,SEA,BUF,1,5000
2016,9,Bryan Walters,WR,JAC,KC,0,4500
2016,9,Jimmy Graham,TE,SEA,BUF,1,6700
2016,9,Jason Witten,TE,DAL,CLE,0,5200
2016,9,Antonio Gates,TE,SD,TEN,1,5500
2016,9,Vance McDonald,TE,SF,NO,1,4500
