"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17363-28181","RB","Le'Veon","","Bell","22.972726995294746","11","9500","BAL@PIT","PIT","BAL","","","",""
"17363-6779","RB","LeSean","","McCoy","19.09230745755709","13","9100","MIA@BUF","BUF","MIA","","","",""
"17363-6498","QB","Tom","","Brady","21.436000061035155","10","9000","NYJ@NE","NE","NYJ","","","",""
"17363-32384","WR","Mike","","Evans","15.849999564034599","14","8900","TB@NO","TB","NO","","","",""
"17363-38791","RB","Ezekiel","","Elliott","20.550000871930802","14","8900","DET@DAL","DAL","DET","","","",""
"17363-31360","WR","Odell","","Beckham Jr.","15.62142835344587","14","8800","NYG@PHI","NYG","PHI","","","",""
"17363-62497","RB","David","","Johnson","23.59285627092634","14","8700","ARI@SEA","ARI","SEA","","","",""
"17363-28900","RB","Melvin","","Gordon","17.7000004695012","13","8600","SD@CLE","SD","CLE","Q","Hip","",""
"17363-6894","QB","Aaron","","Rodgers","22.54571533203125","14","8600","MIN@GB","GB","MIN","","","",""
"17363-6504","QB","Drew","","Brees","22.161429268973215","14","8500","TB@NO","NO","TB","","","",""
"17363-14190","WR","Julio","","Jones","15.941666920979818","12","8500","ATL@CAR","ATL","CAR","Q","Toe","",""
"17363-14254","RB","DeMarco","","Murray","18.42142813546317","14","8400","TEN@JAC","TEN","JAC","","","",""
"17363-11612","WR","Antonio","","Brown","16.69285692487444","14","8300","BAL@PIT","PIT","BAL","","","",""
"17363-21939","QB","Andrew","","Luck","21.11076941856971","13","8300","IND@OAK","IND","OAK","","","",""
"17363-7968","QB","Philip","","Rivers","17.37142835344587","14","8200","SD@CLE","SD","CLE","","","",""
"17363-6616","QB","Matt","","Ryan","21.78857203892299","14","8100","ATL@CAR","ATL","CAR","","","",""
"17363-45859","QB","Derek","","Carr","18.028570992606028","14","8100","IND@OAK","OAK","IND","","","",""
"17363-24849","QB","Jameis","","Winston","17.481428963797434","14","8000","TB@NO","TB","NO","","","",""
"17363-6589","QB","Ben","","Roethlisberger","18.77692354642428","13","7900","BAL@PIT","PIT","BAL","","","",""
"17363-6654","QB","Matthew","","Stafford","18.24285670689174","14","7900","DET@DAL","DET","DAL","","","",""
"17363-30447","RB","Todd","","Gurley","10.771428789411272","14","7900","SF@LA","LA","SF","","","",""
"17363-14185","QB","Cam","","Newton","18.638333638509113","12","7900","ATL@CAR","CAR","ATL","","","",""
"17363-24920","RB","Devonta","","Freeman","15.57857186453683","14","7800","ATL@CAR","ATL","CAR","","","",""
"17363-22038","QB","Kirk","","Cousins","19.869229830228366","13","7800","WAS@CHI","WAS","CHI","","","",""
"17363-29358","QB","Marcus","","Mariota","18.619999476841517","14","7800","TEN@JAC","TEN","JAC","","","",""
"17363-6893","WR","Jordy","","Nelson","15.335714067731585","14","7800","MIN@GB","GB","MIN","","","",""
"17363-31716","QB","Dak","","Prescott","18.89428492954799","14","7800","DET@DAL","DAL","DET","","","",""
"17363-22015","QB","Russell","","Wilson","16.552857535226003","14","7700","ARI@SEA","SEA","ARI","","","",""
"17363-6826","QB","Eli","","Manning","15.552857535226005","14","7700","NYG@PHI","NYG","PHI","","","",""
"17363-11435","WR","Dez","","Bryant","11.781818736683238","11","7600","DET@DAL","DAL","DET","","","",""
"17363-22031","WR","T.Y.","","Hilton","14.37857164655413","14","7600","IND@OAK","IND","OAK","","","",""
"17363-14231","QB","Colin","","Kaepernick","18.344445122612846","9","7600","SF@LA","SF","LA","","","",""
"17363-14377","QB","Tyrod","","Taylor","17.554285321916854","14","7500","MIA@BUF","BUF","MIA","","","",""
"17363-14187","WR","A.J.","","Green","15.339999389648436","10","7400","CIN@HOU","CIN","HOU","Q","Hamstring","",""
"17363-14225","QB","Andy","","Dalton","17.248571123395646","14","7400","CIN@HOU","CIN","HOU","","","",""
"17363-34331","RB","Latavius","","Murray","15.216667175292968","12","7300","IND@OAK","OAK","IND","","","",""
"17363-6714","QB","Joe","","Flacco","16.594286237444198","14","7300","BAL@PIT","BAL","PIT","","","",""
"17363-42142","RB","Jordan","","Howard","14.523077157827524","13","7200","WAS@CHI","CHI","WAS","","","",""
"17363-31001","WR","Amari","","Cooper","12.057143075125557","14","7200","IND@OAK","OAK","IND","","","",""
"17363-11779","RB","LeGarrette","","Blount","14.37857164655413","14","7200","NYJ@NE","NE","NYJ","","","",""
"17363-28473","RB","Carlos","","Hyde","13.908332824707031","12","7100","SF@LA","SF","LA","","","",""
"17363-29501","WR","Brandin","","Cooks","14.73846200796274","13","7100","TB@NO","NO","TB","","","",""
"17363-14626","WR","Doug","","Baldwin","12.214285714285713","14","7000","ARI@SEA","SEA","ARI","","","",""
"17363-21970","RB","Doug","","Martin","9.8125","8","7000","TB@NO","TB","NO","","","",""
"17363-21980","WR","Alshon","","Jeffery","10.69000015258789","10","7000","WAS@CHI","CHI","WAS","","","",""
"17363-30298","TE","Jordan","","Reed","12.4","10","7000","WAS@CHI","WAS","CHI","","","",""
"17363-6748","QB","Carson","","Palmer","16.973846435546875","13","7000","ARI@SEA","ARI","SEA","","","",""
"17363-22037","RB","Lamar","","Miller","12.542857578822545","14","6900","CIN@HOU","HOU","CIN","Q","Ankle","",""
"17363-28573","WR","Michael","","Thomas","13.1000002347506","13","6900","TB@NO","NO","TB","","","",""
"17363-62535","WR","Tyrell","","Williams","11.285714285714286","14","6800","SD@CLE","SD","CLE","","","",""
"17363-31397","RB","Jeremy","","Hill","11.785714285714286","14","6800","CIN@HOU","CIN","HOU","","","",""
"17363-6914","TE","Greg","","Olsen","11.015384380634014","13","6800","ATL@CAR","CAR","ATL","","","",""
"17363-24929","WR","Kelvin","","Benjamin","10","13","6700","ATL@CAR","CAR","ATL","","","",""
"17363-7859","WR","Julian","","Edelman","10.157142639160156","14","6700","NYJ@NE","NE","NYJ","","","",""
"17363-70324","QB","Carson","","Wentz","14.042857578822545","14","6700","NYG@PHI","PHI","NYG","","","",""
"17363-6883","WR","Larry","","Fitzgerald","12.314285278320312","14","6700","ARI@SEA","ARI","SEA","","","",""
"17363-33557","TE","Tyler","","Eifert","10.487500190734863","8","6700","CIN@HOU","CIN","HOU","","","",""
"17363-46882","RB","Jay","","Ajayi","12.692307692307691","13","6700","MIA@BUF","MIA","BUF","","","",""
"17363-16606","WR","DeAndre","","Hopkins","9.771428789411272","14","6600","CIN@HOU","HOU","CIN","","","",""
"17363-7659","QB","Ryan","","Fitzpatrick","10.854999542236328","12","6600","NYJ@NE","NYJ","NE","","","",""
"17363-45889","WR","Davante","","Adams","12.62142835344587","14","6600","MIN@GB","GB","MIN","","","",""
"17363-11432","WR","Demaryius","","Thomas","12.221429007393974","14","6500","DEN@KC","DEN","KC","","","",""
"17363-33076","TE","Travis","","Kelce","10.835714067731585","14","6500","DEN@KC","KC","DEN","","","",""
"17363-6759","WR","Brandon","","Marshall","8.75","14","6500","NYJ@NE","NYJ","NE","","","",""
"17363-6808","QB","Matt","","Moore","13.15999984741211","2","6500","MIA@BUF","MIA","BUF","","","",""
"17363-31394","WR","Jarvis","","Landry","11.557143075125557","14","6500","MIA@BUF","MIA","BUF","","","",""
"17363-31459","RB","Spencer","","Ware","12.938461303710937","13","6500","DEN@KC","KC","DEN","","","",""
"17363-28434","QB","Trevor","","Siemian","15.056666056315103","12","6500","DEN@KC","DEN","KC","","","",""
"17363-8005","QB","Alex","","Smith","14.096922654371995","13","6500","DEN@KC","KC","DEN","","","",""
"17363-14320","RB","Bilal","","Powell","9.885713849748883","14","6500","NYJ@NE","NYJ","NE","","","",""
"17363-11505","WR","Emmanuel","","Sanders","12.142857142857142","14","6400","DEN@KC","DEN","KC","","","",""
"17363-53681","WR","Tyreek","","Hill","11.17142813546317","14","6400","DEN@KC","KC","DEN","","","",""
"17363-6703","RB","Adrian","","Peterson","2.5","3","6400","MIN@GB","MIN","GB","","","",""
"17363-6733","RB","Jonathan","","Stewart","10.85","10","6400","ATL@CAR","CAR","ATL","","","",""
"17363-6863","TE","Delanie","","Walker","10.753846388596754","13","6400","TEN@JAC","TEN","JAC","","","",""
"17363-6899","RB","Matt","","Forte","12.042857578822545","14","6400","NYJ@NE","NYJ","NE","","","",""
"17363-29734","RB","Ty","","Montgomery","8.06923088660607","13","6300","MIN@GB","GB","MIN","","","",""
"17363-25969","QB","Tom","","Savage","10.399999618530273","1","6300","CIN@HOU","HOU","CIN","","","",""
"17363-6739","WR","DeSean","","Jackson","9.966666539510091","12","6300","WAS@CHI","WAS","CHI","","","",""
"17363-14211","RB","Mark","","Ingram","12.335714067731585","14","6300","TB@NO","NO","TB","","","",""
"17363-29605","QB","Matt","","Barkley","12.344000244140625","5","6300","WAS@CHI","CHI","WAS","","","",""
"17363-9392","WR","Michael","","Crabtree","12.507143293108258","14","6200","IND@OAK","OAK","IND","","","",""
"17363-11512","TE","Jimmy","","Graham","9.792857578822545","14","6200","ARI@SEA","SEA","ARI","","","",""
"17363-6535","WR","Kenny","","Britt","11.442856924874442","14","6200","SF@LA","LA","SF","","","",""
"17363-28095","RB","Thomas","","Rawls","8.685714176722935","7","6200","ARI@SEA","SEA","ARI","","","",""
"17363-34308","QB","Blake","","Bortles","17.58999960763114","14","6200","TEN@JAC","JAC","TEN","","","",""
"17363-38435","QB","Jared","","Goff","9.872000122070312","5","6200","SF@LA","LA","SF","Q","Concussion","",""
"17363-22288","WR","Cole","","Beasley","10.042857578822545","14","6200","DET@DAL","DAL","DET","","","",""
"17363-27776","RB","Tevin","","Coleman","12.836363358931107","11","6100","ATL@CAR","ATL","CAR","","","",""
"17363-31874","RB","Kenneth","","Farrow","2.5555555555555553","9","6100","SD@CLE","SD","CLE","","","",""
