"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17288-62497","RB","David","","Johnson","23.5","13","9800","NO@ARI","ARI","NO","","","",""
"17288-28181","RB","Le'Veon","","Bell","23.710000610351564","10","9400","PIT@CIN","PIT","CIN","","","",""
"17288-6779","RB","LeSean","","McCoy","18.150000254313152","12","9000","CLE@BUF","BUF","CLE","","","",""
"17288-31360","WR","Odell","","Beckham Jr.","15.569230299729566","13","8600","DET@NYG","NYG","DET","","","",""
"17288-11612","WR","Antonio","","Brown","17.415384145883415","13","8500","PIT@CIN","PIT","CIN","","","",""
"17288-6616","QB","Matt","","Ryan","21.97692401592548","13","8500","SF@ATL","ATL","SF","","","",""
"17288-6894","QB","Aaron","","Rodgers","23.35846182016226","13","8500","GB@CHI","GB","CHI","Q","Calf","",""
"17288-38791","RB","Ezekiel","","Elliott","20.107691838191105","13","8500","TB@DAL","DAL","TB","","","",""
"17288-14190","WR","Julio","","Jones","15.941666920979818","12","8400","SF@ATL","ATL","SF","Q","Toe","",""
"17288-6504","QB","Drew","","Brees","21.607691838191105","13","8200","NO@ARI","NO","ARI","","","",""
"17288-32384","WR","Mike","","Evans","16.46153846153846","13","8200","TB@DAL","TB","DAL","","","",""
"17288-6498","QB","Tom","","Brady","22.993333604600693","9","8100","NE@DEN","NE","DEN","","","",""
"17288-21939","QB","Andrew","","Luck","21.303333282470703","12","8100","IND@MIN","IND","MIN","Q","Shoulder","",""
"17288-28900","RB","Melvin","","Gordon","17.7000004695012","13","8000","OAK@SD","SD","OAK","D","Hip","",""
"17288-6589","QB","Ben","","Roethlisberger","19.09666697184245","12","8000","PIT@CIN","PIT","CIN","","","",""
"17288-45859","QB","Derek","","Carr","18.490769606370193","13","7900","OAK@SD","OAK","SD","","","",""
"17288-31716","QB","Dak","","Prescott","18.873846200796272","13","7900","TB@DAL","DAL","TB","","","",""
"17288-24849","QB","Jameis","","Winston","17.789230346679687","13","7800","TB@DAL","TB","DAL","","","",""
"17288-6654","QB","Matthew","","Stafford","18.78307635967548","13","7800","DET@NYG","DET","NYG","","","",""
"17288-7968","QB","Philip","","Rivers","17.535385131835937","13","7800","OAK@SD","SD","OAK","","","",""
"17288-24920","RB","Devonta","","Freeman","14.276923546424278","13","7700","SF@ATL","ATL","SF","","","",""
"17288-6826","QB","Eli","","Manning","15.515384380634014","13","7700","DET@NYG","NYG","DET","","","",""
"17288-29358","QB","Marcus","","Mariota","19.55692349947416","13","7700","TEN@KC","TEN","KC","","","",""
"17288-6893","WR","Jordy","","Nelson","15.292307927058292","13","7700","GB@CHI","GB","CHI","","","",""
"17288-14377","QB","Tyrod","","Taylor","17.68461491511418","13","7600","CLE@BUF","BUF","CLE","","","",""
"17288-6748","QB","Carson","","Palmer","16.661666870117187","12","7600","NO@ARI","ARI","NO","","","",""
"17288-14187","WR","A.J.","","Green","15.339999389648436","10","7600","PIT@CIN","CIN","PIT","Q","Hamstring","",""
"17288-14225","QB","Andy","","Dalton","17.7000004695012","13","7600","PIT@CIN","CIN","PIT","","","",""
"17288-11435","WR","Dez","","Bryant","11.740000152587891","10","7500","TB@DAL","DAL","TB","","","",""
"17288-14231","QB","Colin","","Kaepernick","18.459999084472656","8","7500","SF@ATL","SF","ATL","","","",""
"17288-31001","WR","Amari","","Cooper","12.73076923076923","13","7400","OAK@SD","OAK","SD","Q","Shoulder","",""
"17288-6714","QB","Joe","","Flacco","16.859999436598556","13","7400","PHI@BAL","BAL","PHI","","","",""
"17288-14254","RB","DeMarco","","Murray","18.561538696289062","13","7400","TEN@KC","TEN","KC","","","",""
"17288-22031","WR","T.Y.","","Hilton","15.023077157827524","13","7300","IND@MIN","IND","MIN","","","",""
"17288-22037","RB","Lamar","","Miller","12.284615149864784","13","7200","JAC@HOU","HOU","JAC","Q","Ribs","",""
"17288-6883","WR","Larry","","Fitzgerald","12.707692072941707","13","7200","NO@ARI","ARI","NO","","","",""
"17288-33557","TE","Tyler","","Eifert","11.785714285714286","7","7200","PIT@CIN","CIN","PIT","","","",""
"17288-28473","RB","Carlos","","Hyde","14.60909063165838","11","7000","SF@ATL","SF","ATL","","","",""
"17288-33076","TE","Travis","","Kelce","11.23846200796274","13","6900","TEN@KC","KC","TEN","","","",""
"17288-45889","WR","Davante","","Adams","13.323076688326322","13","6900","GB@CHI","GB","CHI","","","",""
"17288-34331","RB","Latavius","","Murray","15.899999445134943","11","6800","OAK@SD","OAK","SD","","","",""
"17288-8005","QB","Alex","","Smith","14.21999994913737","12","6800","TEN@KC","KC","TEN","","","",""
"17288-11414","QB","Sam","","Bradford","14.046666463216146","12","6700","IND@MIN","MIN","IND","Q","Shoulder","",""
"17288-11432","WR","Demaryius","","Thomas","12.192307692307691","13","6700","NE@DEN","DEN","NE","","","",""
"17288-21980","WR","Alshon","","Jeffery","9.88888888888889","9","6700","GB@CHI","CHI","GB","","","",""
"17288-31459","RB","Spencer","","Ware","13.09999974568685","12","6700","TEN@KC","KC","TEN","","","",""
"17288-42142","RB","Jordan","","Howard","14.125","12","6600","GB@CHI","CHI","GB","","","",""
"17288-11505","WR","Emmanuel","","Sanders","12.59230745755709","13","6600","NE@DEN","DEN","NE","","","",""
"17288-31397","RB","Jeremy","","Hill","11.799999530498798","13","6600","PIT@CIN","CIN","PIT","","","",""
"17288-70324","QB","Carson","","Wentz","14.153846153846153","13","6600","PHI@BAL","PHI","BAL","","","",""
"17288-28434","QB","Trevor","","Siemian","15.454545454545455","11","6600","NE@DEN","DEN","NE","","","",""
"17288-62535","WR","Tyrell","","Williams","11.846153846153846","13","6500","OAK@SD","SD","OAK","","","",""
"17288-27776","RB","Tevin","","Coleman","13.360000610351562","10","6500","SF@ATL","ATL","SF","","","",""
"17288-16606","WR","DeAndre","","Hopkins","9.546153728778545","13","6500","JAC@HOU","HOU","JAC","Q","Hamstring","",""
"17288-21970","RB","Doug","","Martin","10.614286150251116","7","6500","TB@DAL","TB","DAL","","","",""
"17288-21994","QB","Brock","","Osweiler","12.64153817983774","13","6500","JAC@HOU","HOU","JAC","","","",""
"17288-34308","QB","Blake","","Bortles","18.313846294696514","13","6500","JAC@HOU","JAC","HOU","","","",""
"17288-53681","WR","Tyreek","","Hill","11.046154315655048","13","6400","TEN@KC","KC","TEN","","","",""
"17288-7859","WR","Julian","","Edelman","10.13076899601863","13","6400","NE@DEN","NE","DEN","","","",""
"17288-15212","WR","Terrelle","","Pryor Sr.","11.77230717585637","13","6400","CLE@BUF","CLE","BUF","","","",""
"17288-14211","RB","Mark","","Ingram","12.5","13","6400","NO@ARI","NO","ARI","Q","Toe","",""
"17288-28573","WR","Michael","","Thomas","12.966667175292968","12","6400","NO@ARI","NO","ARI","Q","Foot","",""
"17288-25079","WR","Stefon","","Diggs","12.554546009410511","11","6300","IND@MIN","MIN","IND","Q","Knee","",""
"17288-11779","RB","LeGarrette","","Blount","14.784615149864784","13","6300","NE@DEN","NE","DEN","","","",""
"17288-6703","RB","Adrian","","Peterson","3.3499999046325683","2","6300","IND@MIN","MIN","IND","IR","Knee - meniscus","",""
"17288-6728","RB","Jamaal","","Charles","4.133333206176758","3","6300","TEN@KC","KC","TEN","IR","Knee","",""
