year,team,rank,sacks,adjusted_sack_rate
11,MIN,1,50,8.7%
11,BAL,2,48,8.4%
11,HOU,3,44,8.4%
11,PHI,4,49,8.2%
11,DEN,5,41,7.8%
11,DAL,6,42,7.7%
11,MIA,7,41,7.6%
11,STL,8,39,7.5%
11,WAS,9,41,7.4%
11,NYG,10,48,7.4%
11,CIN,11,45,7.4%
11,NYJ,12,35,7.3%
11,JAC,13,31,7.2%
11,PIT,14,35,6.8%
11,IND,15,29,6.8%
11,CAR,16,31,6.7%
11,SD,17,32,6.5%
11,DET,18,42,6.5%
11,NE,19,40,6.5%
11,ARI,20,42,6.4%
11,OAK,21,39,6.4%
11,SF,22,40,6.3%
11,KC,23,29,6.3%
11,ATL,24,33,6.0%
11,NO,25,33,5.9%
11,CLE,26,32,5.8%
11,BUF,27,28,5.7%
11,SEA,28,33,5.5%
11,CHI,29,33,5.2%
11,TB,30,23,5.2%
11,TEN,31,28,5.0%
11,GB,32,29,4.8%
11,NFL,x,37,6.7%
12,DEN,1,52,8.7%
12,CIN,2,51,8.7%
12,STL,3,52,8.5%
12,GB,4,47,8.0%
12,CAR,5,39,7.8%
12,HOU,6,44,7.3%
12,ARI,7,38,7.2%
12,SD,8,38,7.0%
12,DAL,9,34,6.9%
12,BAL,10,37,6.9%
12,PIT,11,37,6.7%
12,PHI,12,30,6.5%
12,TEN,13,39,6.5%
12,KC,14,27,6.5%
12,CHI,15,41,6.4%
12,MIN,16,44,6.4%
12,SF,17,38,6.4%
12,CLE,18,38,6.3%
12,MIA,19,42,6.3%
12,NYJ,20,30,6.2%
12,SEA,21,36,6.1%
12,NYG,22,33,6.0%
12,BUF,23,36,6.0%
12,NE,24,37,6.0%
12,WAS,25,32,5.9%
12,ATL,26,29,5.8%
12,IND,27,32,5.8%
12,NO,28,30,5.5%
12,DET,29,34,5.2%
12,OAK,30,25,4.9%
12,TB,31,27,4.9%
12,JAC,32,20,4.0%
12,NFL,x,37,6.5%
13,STL,1,53,9.5%
13,CAR,2,60,9.2%
13,BUF,3,57,8.7%
13,NO,4,49,8.6%
13,GB,5,44,8.1%
13,KC,6,47,7.9%
13,SEA,7,44,7.6%
13,IND,8,42,7.6%
13,NE,9,48,7.5%
13,BAL,10,40,7.3%
13,OAK,11,38,7.3%
13,ARI,12,47,7.2%
13,WAS,13,36,7.0%
13,CIN,14,43,7.0%
13,SD,15,35,6.9%
13,MIA,16,42,6.8%
13,MIN,17,41,6.8%
13,HOU,18,32,6.7%
13,PHI,19,37,6.7%
13,TEN,20,36,6.6%
13,CLE,21,40,6.5%
13,DEN,22,41,6.5%
13,CHI,23,31,6.3%
13,NYJ,24,41,6.2%
13,TB,25,35,6.2%
13,DAL,26,34,6.1%
13,PIT,27,34,6.1%
13,NYG,28,34,6.1%
13,SF,29,38,6.0%
13,JAC,30,31,6.0%
13,DET,31,33,5.8%
13,ATL,32,32,5.3%
13,NFL,x,40,7.0%
14,BUF,1,54,8.8%
14,JAC,2,45,8.5%
14,KC,3,46,8.3%
14,NYJ,4,45,8.2%
14,BAL,5,49,8.0%
14,NYG,6,47,7.8%
14,CAR,7,40,7.5%
14,MIA,8,39,7.5%
14,IND,9,41,7.3%
14,PHI,10,49,7.1%
14,TEN,11,39,7.0%
14,MIN,12,41,7.0%
