year,place,team,adj-line-yards,rb-yards,power-sucess,power rank,stuffed,stuffed-rank,2nd_level_yds,2nd_level_rank,open_field_yds,open_field_rank
11,1,CHI,3.29,4.13,65%,19,26%,1,1.18,16,1.07,26
11,2,NYJ,3.65,3.86,45%,2,22%,6,1.04,6,0.72,13
11,3,ATL,3.72,4.10,63%,17,23%,2,1.19,17,0.81,20
11,4,SF,3.73,3.46,41%,1,16%,31,0.86,1,0.30,1
11,5,CIN,3.78,4.09,66%,23,20%,17,1.03,4,0.88,21
11,6,JAC,3.82,3.94,68%,26,21%,10,1.03,3,0.77,16
11,7,HOU,3.85,4.04,67%,25,20%,15,1.07,8,0.75,14
11,8,MIN,3.86,3.92,62%,16,22%,7,1.27,22,0.51,5
11,9,DEN,3.88,4.26,60%,12,22%,8,1.28,25,0.78,18
11,10,DAL,3.92,4.03,57%,10,22%,9,1.13,11,0.66,9
11,11,SEA,3.95,3.79,49%,4,20%,16,1.11,9,0.49,4
11,12,MIA,3.96,3.79,73%,29,20%,14,1.16,14,0.38,3
11,13,BAL,3.96,3.55,66%,22,17%,25,0.92,2,0.33,2
11,14,PIT,4.00,3.91,62%,15,18%,22,1.04,5,0.55,6
11,15,DET,4.01,4.62,52%,5,20%,13,1.23,19,1.16,28
11,16,PHI,4.03,4.53,47%,3,23%,3,1.35,29,0.98,22
11,17,TEN,4.03,4.49,53%,6,22%,5,1.18,15,1.09,27
11,18,OAK,4.05,4.90,72%,28,19%,18,1.34,28,1.30,30
11,19,ARI,4.11,4.23,71%,27,20%,12,1.28,23,0.69,10
11,20,NYG,4.12,4.49,61%,13,21%,11,1.14,13,1.01,23
11,21,NO,4.13,5.20,73%,30,18%,20,1.42,30,1.45,32
11,22,WAS,4.19,4.26,54%,7,18%,21,1.14,12,0.76,15
11,23,STL,4.26,4.83,55%,8,18%,19,1.21,18,1.26,29
11,24,KC,4.31,4.13,55%,9,16%,29,1.06,7,0.57,7
11,25,SD,4.32,4.38,75%,32,16%,28,1.12,10,0.79,19
11,26,TB,4.37,5.16,74%,31,23%,4,1.61,32,1.37,31
11,27,IND,4.41,4.36,65%,20,17%,24,1.27,21,0.70,11
11,28,BUF,4.46,4.79,62%,14,15%,32,1.30,26,1.02,24
11,29,NE,4.51,4.48,58%,11,16%,27,1.28,24,0.66,8
11,30,GB,4.52,4.51,67%,24,16%,30,1.32,27,0.70,12
11,31,CLE,4.59,4.54,65%,21,16%,26,1.24,20,0.77,17
11,32,CAR,4.66,4.98,64%,18,17%,23,1.47,31,1.07,25
11,x,NFL,x,4.31,62%,x,19%,x,1.08,x,0.74,x
12,1,TB,2.96,3.58,71%,27,33%,1,1.19,18,0.74,15
12,2,STL,3.50,4.09,59%,13,25%,3,1.21,21,1.02,26
12,3,CHI,3.52,4.11,60%,14,24%,5,1.20,19,0.92,24
12,4,HOU,3.62,3.93,59%,11,25%,4,1.22,23,0.67,12
12,5,DET,3.69,4.30,72%,28,26%,2,1.33,29,1.03,27
12,6,OAK,3.80,4.27,58%,9,22%,9,1.01,2,1.18,30
12,7,SD,3.80,3.81,59%,10,23%,7,1.18,15,0.54,8
12,8,ATL,3.81,4.47,65%,21,20%,11,1.18,14,1.11,29
12,9,PHI,3.82,4.06,60%,16,22%,8,1.26,26,0.67,13
12,10,NE,3.83,3.97,50%,2,19%,13,1.29,27,0.49,7
12,11,MIA,3.85,3.88,64%,18,21%,10,1.04,5,0.63,9
12,12,MIN,3.87,3.75,59%,12,24%,6,1.11,7,0.46,4
12,13,PIT,3.89,3.78,66%,22,19%,14,1.03,4,0.47,5
12,14,DEN,3.91,3.69,52%,6,18%,18,1.02,3,0.35,1
12,15,SF,3.92,3.68,60%,17,19%,16,0.97,1,0.42,2
12,16,CIN,4.04,4.05,82%,32,18%,21,1.19,17,0.48,6
12,17,WAS,4.08,4.35,79%,31,17%,26,1.19,16,0.86,19
12,18,NYJ,4.09,4.33,56%,8,16%,27,1.10,6,0.89,23
12,19,DAL,4.14,4.37,65%,20,16%,28,1.13,8,0.83,18
12,20,KC,4.18,4.48,52%,5,18%,23,1.17,13,0.99,25
12,21,SEA,4.22,4.44,50%,3,18%,22,1.22,22,0.86,20
12,22,GB,4.25,4.40,51%,4,17%,24,1.17,12,0.80,16
12,23,CAR,4.30,4.45,66%,23,16%,29,1.23,24,0.88,22
12,24,BUF,4.30,4.77,68%,25,18%,17,1.40,32,1.05,28
12,25,CLE,4.31,4.36,77%,30,15%,31,1.20,20,0.68,14
12,26,JAC,4.31,4.16,69%,26,18%,20,1.14,9,0.67,10
12,27,IND,4.32,5.10,64%,19,16%,30,1.15,10,1.49,32
12,28,BAL,4.33,4.10,76%,29,14%,32,1.16,11,0.42,3
12,29,TEN,4.39,4.35,67%,24,20%,12,1.36,30,0.67,11
12,30,NYG,4.42,4.65,48%,1,19%,15,1.26,25,0.87,21
12,31,NO,4.47,5.29,60%,15,18%,19,1.38,31,1.48,31
12,32,ARI,4.49,4.58,55%,7,17%,25,1.31,28,0.80,17
12,x,NFL,x,4.25,63%,x,20%,x,1.07,x,0.72,x
13,1,ARI,3.09,3.19,48%,2,28%,1,1.01,8,0.46,7
13,2,DET,3.13,4.08,50%,3,26%,4,1.13,19,1.07,29
13,3,DEN,3.23,3.61,64%,13,22%,9,1.03,9,0.63,16
13,4,NYJ,3.23,3.21,39%,1,26%,3,0.80,1,0.48,8
13,5,STL,3.50,3.80,51%,4,27%,2,1.13,18,0.77,20
13,6,WAS,3.58,4.02,68%,22,23%,6,1.18,25,0.82,22
13,7,TB,3.62,3.95,66%,17,24%,5,1.07,13,0.80,21
13,8,NYG,3.62,3.56,66%,19,21%,13,1.00,7,0.44,5
13,9,CAR,3.65,4.07,74%,27,22%,8,1.19,27,0.83,23
13,10,MIN,3.67,3.89,60%,9,23%,7,1.19,26,0.64,17
13,11,KC,3.67,4.27,56%,7,18%,18,1.03,10,0.94,25
13,12,HOU,3.68,4.27,53%,6,22%,10,1.10,16,1.04,27
13,13,SEA,3.73,3.75,70%,24,21%,11,1.06,11,0.55,12
13,14,NO,3.75,4.40,69%,23,21%,12,1.06,12,1.13,30
13,15,CIN,3.82,3.78,60%,10,15%,29,0.99,5,0.43,3
13,16,CLE,3.83,3.94,79%,32,18%,15,0.97,2,0.65,18
13,17,PHI,3.89,3.61,68%,21,18%,20,0.98,3,0.33,1
13,18,OAK,3.95,3.96,73%,25,17%,21,1.16,21,0.45,6
13,19,BAL,3.95,3.92,59%,8,18%,16,1.08,14,0.48,9
13,20,BUF,3.99,4.54,65%,15,17%,24,1.13,20,1.07,28
13,21,JAC,4.01,4.12,74%,28,18%,19,1.09,15,0.75,19
13,22,SF,4.12,3.88,66%,18,14%,31,0.99,6,0.42,2
13,23,TEN,4.15,4.03,61%,12,17%,23,1.17,22,0.52,10
13,24,PIT,4.16,4.07,65%,16,15%,30,0.98,4,0.60,15
13,25,MIA,4.24,4.25,64%,14,15%,28,1.20,28,0.58,13
13,26,GB,4.26,4.67,77%,30,17%,22,1.38,29,0.88,24
13,27,ATL,4.30,4.85,68%,20,16%,25,1.17,23,1.26,31
13,28,IND,4.30,4.25,53%,5,16%,26,1.18,24,0.58,14
13,29,DAL,4.34,4.84,76%,29,18%,17,1.48,31,0.98,26
13,30,NE,4.37,4.24,60%,11,13%,32,1.12,17,0.43,4
13,31,SD,4.45,4.46,73%,26,16%,27,1.39,30,0.55,11
13,32,CHI,4.45,5.34,77%,31,20%,14,1.57,32,1.40,32
13,x,NFL,x,4.10,64%,x,19%,x,1.01,x,0.65,x
14,1,DET,2.82,3.17,63%,15,25%,3,0.86,1,0.50,5
14,2,DEN,3.20,3.55,55%,7,22%,7,0.97,5,0.60,11
14,3,STL,3.31,3.88,55%,4,24%,5,1.12,14,0.82,22
14,4,BUF,3.34,3.99,64%,16,26%,1,1.14,17,0.83,23
14,5,SEA,3.41,3.54,59%,10,23%,6,0.92,4,0.59,8
14,6,ARI,3.50,4.10,43%,1,26%,2,1.14,16,0.98,28
14,7,BAL,3.55,3.53,55%,4,18%,19,0.86,2,0.46,2
14,8,TB,3.57,3.94,67%,20,25%,4,1.14,18,0.81,21
14,9,JAC,3.61,4.06,70%,24,21%,9,1.05,9,0.88,27
14,10,CAR,3.65,4.51,79%,29,21%,8,1.07,10,1.27,32
14,11,PHI,3.72,3.64,80%,30,21%,11,1.02,7,0.48,4
14,12,WAS,3.77,3.97,60%,11,20%,13,1.04,8,0.69,16
14,13,NYJ,3.80,3.81,64%,18,19%,16,0.89,3,0.69,17
14,14,HOU,3.83,4.13,64%,17,19%,18,1.25,24,0.59,10
14,15,MIA,3.85,4.12,65%,19,21%,10,1.08,11,0.80,20
14,16,OAK,3.85,4.08,62%,12,20%,12,1.13,15,0.72,18
14,17,DAL,3.85,4.46,67%,20,18%,20,1.16,19,1.02,30
14,18,NE,3.95,4.08,81%,32,16%,28,1.16,20,0.47,3
14,19,NO,3.99,4.78,74%,28,18%,22,1.32,29,1.17,31
14,20,SD,4.02,4.03,58%,9,20%,14,1.20,22,0.56,7
14,21,PIT,4.04,4.36,53%,3,18%,21,1.32,30,0.75,19
14,22,IND,4.05,4.20,67%,20,20%,15,1.23,23,0.68,15
14,23,TEN,4.08,4.41,73%,27,19%,17,1.25,26,0.84,26
14,24,ATL,4.16,4.09,80%,30,15%,30,1.11,12,0.54,6
14,25,SF,4.16,4.04,71%,25,16%,26,1.00,6,0.59,9
