year,team,rank,sacks,adjusted_sack_rate
11,BUF,1,23,3.8%
11,TEN,2,24,4.2%
11,NO,3,24,4.4%
11,CIN,4,25,4.5%
11,OAK,5,25,5.0%
11,NYG,6,28,5.1%
11,ATL,7,26,5.1%
11,NE,8,32,5.4%
11,SD,9,31,5.6%
11,DET,10,36,5.9%
11,PHI,11,32,5.9%
11,BAL,12,33,5.9%
11,DAL,13,39,6.1%
11,TB,14,32,6.2%
11,WAS,15,40,6.4%
11,CLE,16,39,6.4%
11,NYJ,17,40,6.7%
11,IND,18,35,6.9%
11,KC,19,34,7.1%
11,PIT,20,42,7.2%
11,CAR,21,35,7.2%
11,HOU,22,33,7.3%
11,GB,23,41,7.4%
11,SEA,24,48,8.1%
11,SF,25,44,8.4%
11,JAC,26,44,8.9%
11,ARI,27,54,9.1%
11,STL,28,55,9.1%
11,DEN,29,41,9.2%
11,MIA,30,52,9.6%
11,CHI,31,49,9.8%
11,MIN,32,49,9.8%
11,NFL,x,37,6.7%
12,DET,1,29,3.7%
12,DEN,2,21,4.2%
12,NYG,3,20,4.4%
12,OAK,4,27,4.4%
12,NE,5,27,4.5%
12,TB,6,26,4.8%
12,NO,7,26,4.9%
12,ATL,8,28,5.1%
12,HOU,9,28,5.3%
12,BUF,10,30,5.5%
12,DAL,11,36,5.8%
12,CLE,12,36,6.0%
12,BAL,13,38,6.1%
12,STL,14,35,6.2%
12,PIT,15,37,6.3%
12,MIN,16,32,6.5%
12,IND,17,41,6.8%
12,MIA,18,37,6.8%
12,TEN,19,39,7.1%
12,SEA,20,33,7.2%
12,CAR,21,36,7.6%
12,JAC,22,50,7.8%
12,WAS,23,33,7.8%
12,CHI,24,44,8.0%
12,PHI,25,48,8.1%
12,ARI,26,58,8.1%
12,KC,27,40,8.2%
12,CIN,28,46,8.3%
12,SF,29,41,8.5%
12,NYJ,30,47,8.6%
12,GB,31,51,8.6%
12,SD,32,49,8.9%
12,NFL,x,37,6.5%
13,DEN,1,20,3.6%
13,DET,2,23,4.5%
13,CIN,3,29,5.2%
13,NO,4,37,5.3%
13,CHI,5,30,5.5%
13,IND,6,32,5.6%
13,ATL,7,44,5.9%
13,SD,8,30,5.9%
13,NE,9,40,6.1%
13,DAL,10,35,6.2%
13,HOU,11,42,6.6%
13,TEN,12,37,6.7%
13,ARI,13,41,6.8%
13,STL,14,36,6.8%
13,PIT,15,43,7.3%
13,BAL,16,48,7.3%
13,CLE,17,49,7.5%
13,NYG,18,40,7.6%
13,WAS,19,43,7.6%
13,KC,20,41,7.7%
13,TB,21,47,7.7%
13,SF,22,39,7.8%
13,MIN,23,44,7.8%
13,JAC,24,50,7.9%
13,CAR,25,43,8.2%
13,GB,26,45,8.3%
13,NYJ,27,47,8.4%
13,OAK,28,44,8.5%
13,BUF,29,48,8.5%
13,MIA,30,58,8.6%
13,PHI,31,46,9.4%
13,SEA,32,44,9.6%
13,NFL,x,40,7.0%
14,DEN,1,17,3.7%
14,NE,2,26,4.4%
14,OAK,3,28,4.4%
14,BAL,4,19,4.5%
14,CIN,5,23,4.6%
14,ARI,6,28,4.8%
14,IND,7,29,4.8%
14,HOU,8,26,4.9%
14,PHI,9,32,4.9%
