year,place,team,adj-line-yards,rb-yards,power-sucess,power rank,stuffed,stuffed-rank,2nd_level_yds,2nd_level_rank,open_field_yds,open_field_rank
11,1,NO,4.95,5.02,65%,11,15%,1,1.50,1,0.91,13
11,2,NE,4.53,4.17,62%,17,17%,7,1.22,14,0.45,30
11,3,PIT,4.43,4.48,57%,24,20%,23,1.32,6,0.82,16
11,4,HOU,4.36,4.65,64%,14,18%,12,1.43,4,0.92,11
11,5,CAR,4.32,5.30,71%,4,17%,6,1.39,5,1.41,1
11,6,BAL,4.25,4.47,63%,15,18%,11,1.05,30,1.06,5
11,7,NYJ,4.23,3.87,66%,9,16%,4,1.06,28,0.32,32
11,8,SD,4.23,4.44,69%,5,16%,5,1.23,12,0.86,15
11,9,DAL,4.22,4.61,57%,23,19%,16,1.31,8,0.97,9
11,10,WAS,4.21,4.19,62%,18,20%,19,1.19,15,0.67,25
11,11,DEN,4.19,4.67,56%,26,17%,9,1.31,7,0.94,10
11,12,BUF,4.19,5.08,67%,7,18%,14,1.27,9,1.31,2
11,13,JAC,4.14,4.28,64%,12,17%,8,1.19,16,0.76,20
11,14,OAK,4.13,4.52,67%,8,16%,3,1.12,24,1.05,7
11,15,ARI,4.07,4.12,63%,16,20%,18,1.07,27,0.74,21
11,16,GB,4.06,4.08,61%,21,21%,24,1.16,18,0.63,26
11,17,MIA,4.05,4.28,46%,32,18%,13,1.14,19,0.82,17
11,18,MIN,4.05,4.72,73%,1,23%,28,1.43,3,1.15,3
11,19,SEA,4.01,4.12,73%,2,18%,10,1.11,26,0.72,24
11,20,CIN,3.99,3.81,56%,25,22%,27,1.12,23,0.51,28
11,21,SF,3.96,4.17,51%,29,20%,22,1.12,22,0.92,12
11,22,TB,3.96,4.32,65%,10,21%,26,1.23,13,0.79,19
11,23,CLE,3.94,3.60,64%,13,16%,2,0.85,32,0.41,31
11,24,CHI,3.92,4.39,61%,20,24%,30,1.25,11,1.03,8
11,25,IND,3.91,4.12,50%,30,20%,17,1.13,20,0.72,23
11,26,PHI,3.89,4.54,67%,6,25%,32,1.43,2,1.10,4
11,27,ATL,3.84,4.23,59%,22,25%,31,1.17,17,1.05,6
