year,place,team,total_dvoa,last_yr,non-adj-tot-voa,w-l,off_dvoa,off_rank,def_dvoa,def_rank,st_dvoa,st_rank
11,1,GB,27.0%,4,27.4%,15-1,33.8%,1,8.6%,25,1.8%,8
11,2,NO,23.8%,10,25.5%,13-3,33.0%,2,10.2%,28,1.0%,12
11,3,NE,22.8%,1,24.3%,13-3,31.9%,3,13.2%,30,4.1%,5
11,4,PIT,22.6%,2,22.9%,12-4,11.4%,6,-9.4%,7,1.7%,9
11,5,HOU,18.6%,13,24.8%,10-6,8.4%,9,-9.5%,6,0.7%,13
11,6,SF,18.6%,24,22.1%,13-3,-3.9%,18,-14.6%,3,7.8%,2
11,7,BAL,14.5%,5,13.9%,12-4,2.9%,13,-17.1%,1,-5.6%,30
11,8,ATL,13.9%,7,12.8%,10-6,6.1%,11,-9.1%,8,-1.3%,22
11,9,PHI,13.5%,3,13.4%,8-8,9.8%,8,-3.7%,11,0.0%,17
11,10,NYJ,13.5%,6,11.8%,8-8,-8.3%,21,-16.1%,2,5.6%,4
11,11,DET,10.1%,18,12.9%,10-6,7.1%,10,-8.1%,9,-5.1%,29
11,12,NYG,8.5%,9,4.1%,9-7,10.5%,7,2.4%,19,0.3%,15
11,13,TEN,6.6%,11,10.9%,9-7,0.6%,15,0.3%,15,6.3%,3
11,14,DAL,3.5%,23,5.7%,8-8,5.9%,12,0.4%,16,-2.1%,25
11,15,CHI,1.3%,14,1.4%,8-8,-21.4%,30,-14.2%,4,8.5%,1
11,16,SD,0.7%,8,4.7%,8-8,13.0%,5,10.8%,29,-1.6%,23
11,17,CIN,0.1%,19,3.8%,9-7,-1.4%,17,0.8%,17,2.3%,7
11,18,MIA,-1.3%,15,-3.1%,6-10,-7.5%,20,-3.7%,12,2.5%,6
11,19,SEA,-1.5%,30,-1.7%,7-9,-8.7%,22,-7.1%,10,0.2%,16
11,20,CAR,-4.1%,31,-4.7%,6-10,18.2%,4,15.8%,32,-6.5%,32
11,21,WAS,-7.0%,28,-14.6%,5-11,-7.0%,19,-1.2%,14,-1.2%,21
11,22,OAK,-8.0%,21,-4.3%,8-8,2.6%,14,9.6%,27,-1.0%,20
11,23,BUF,-9.7%,29,-9.4%,6-10,0.3%,16,8.3%,24,-1.7%,24
11,24,DEN,-11.8%,26,-9.7%,8-8,-9.9%,23,1.6%,18,-0.2%,18
11,25,CLE,-14.2%,20,-10.5%,4-12,-11.2%,25,4.2%,22,1.3%,10
