year,place,team,def-dvoa,last_yr,wt_off,rank,pass_def,pass_rank,rush_def,rush_rank,non-adj-total,non-adj-pass,non-adj-rush,var,var-rank,sched,sched-rank
11,1,BAL,-17.1%,6,-12.2%,6,-20.2%,1,-13.4%,7,-18.8%,-22.1%,-14.8%,7.8%,29,-5.7%,28
11,2,NYJ,-16.1%,5,-14.3%,2,-16.0%,2,-16.2%,4,-14.6%,-14.2%,-15.0%,7.7%,28,2.0%,10
11,3,SF,-14.6%,15,-13.3%,3,-7.6%,6,-26.1%,2,-17.9%,-13.3%,-25.5%,3.4%,9,-5.8%,29
11,4,CHI,-14.2%,4,-17.6%,1,-6.4%,8,-26.5%,1,-11.7%,-5.0%,-22.1%,5.0%,17,5.9%,1
11,5,JAC,-11.3%,32,-10.0%,11,-8.2%,5,-15.0%,5,-9.1%,-2.9%,-16.3%,10.0%,30,2.2%,9
11,6,HOU,-9.5%,31,-10.6%,8,-6.6%,7,-13.4%,6,-13.4%,-13.3%,-13.7%,3.7%,11,-2.7%,24
11,7,PIT,-9.4%,1,-12.5%,5,-11.7%,3,-6.6%,15,-13.2%,-15.7%,-10.2%,3.1%,6,-6.2%,32
11,8,ATL,-9.1%,14,-13.1%,4,-1.8%,11,-19.1%,3,-5.7%,0.7%,-14.2%,2.3%,2,3.4%,3
11,9,DET,-8.1%,22,-8.6%,13,-10.8%,4,-4.2%,18,-6.2%,-9.9%,-0.9%,5.1%,19,2.4%,7
11,10,SEA,-7.1%,29,-10.5%,9,-5.8%,9,-8.5%,12,-11.3%,-11.3%,-11.3%,4.2%,14,-5.8%,30
11,11,PHI,-3.7%,11,-10.7%,7,-3.4%,10,-4.1%,19,-7.0%,-5.5%,-8.7%,10.8%,31,-2.4%,23
11,12,MIA,-3.7%,9,-10.5%,10,0.4%,13,-9.4%,11,0.9%,6.1%,-6.3%,4.5%,16,3.2%,4
11,13,KC,-3.2%,20,-9.7%,12,-0.3%,12,-5.9%,17,0.2%,7.0%,-5.8%,11.2%,32,2.0%,11
11,14,WAS,-1.2%,26,1.8%,18,4.5%,16,-7.4%,14,4.0%,8.6%,-0.9%,3.2%,7,1.2%,14
11,15,TEN,0.3%,8,1.7%,17,8.6%,21,-9.4%,10,-2.6%,3.2%,-9.4%,6.4%,23,-2.1%,21
11,16,DAL,0.4%,27,3.5%,20,8.5%,20,-10.9%,8,-0.1%,6.7%,-9.6%,3.8%,12,-1.2%,19
11,17,CIN,0.8%,17,3.3%,19,6.7%,18,-6.5%,16,-3.4%,0.9%,-8.7%,2.3%,3,-6.0%,31
11,18,DEN,1.6%,30,1.6%,16,10.2%,22,-8.0%,13,1.2%,9.9%,-8.7%,1.5%,1,1.1%,15
11,19,NYG,2.4%,3,5.2%,22,7.2%,19,-3.7%,20,5.7%,11.1%,-1.1%,5.0%,18,2.7%,6
11,20,ARI,2.4%,25,-2.4%,14,3.2%,15,1.5%,24,0.0%,-0.2%,0.2%,3.7%,10,-3.2%,25
11,21,STL,3.4%,19,1.1%,15,2.8%,14,4.0%,27,8.8%,10.1%,7.6%,6.5%,24,1.6%,12
11,22,CLE,4.2%,18,4.5%,21,4.7%,17,3.8%,26,0.2%,0.4%,0.1%,4.5%,15,-4.5%,27
11,23,MIN,8.0%,12,10.6%,26,22.9%,32,-10.5%,9,10.1%,26.8%,-10.5%,6.3%,21,2.9%,5
11,24,BUF,8.3%,28,12.8%,30,11.1%,25,5.5%,28,9.5%,13.6%,5.3%,7.2%,27,2.3%,8
11,25,GB,8.6%,2,12.1%,27,10.6%,24,5.6%,29,7.8%,7.8%,8.0%,3.0%,5,-2.1%,22
11,26,IND,9.3%,24,7.5%,23,18.2%,27,1.3%,23,10.4%,19.8%,1.9%,5.7%,20,1.6%,13
11,27,OAK,9.6%,13,8.9%,24,10.4%,23,8.4%,31,7.1%,9.0%,4.6%,6.4%,22,-0.6%,17
11,28,NO,10.2%,10,10.2%,25,16.7%,26,-0.2%,21,10.5%,15.0%,3.4%,2.5%,4,-1.0%,18
11,29,SD,10.8%,7,12.7%,29,21.1%,30,0.3%,22,8.0%,17.2%,-1.3%,6.8%,26,-3.2%,26
11,30,NE,13.2%,21,12.2%,28,19.7%,28,3.6%,25,10.4%,17.1%,0.5%,3.3%,8,-1.9%,20
11,31,TB,14.2%,23,15.3%,31,21.3%,31,7.6%,30,18.9%,27.3%,11.0%,6.7%,25,5.7%,2
11,32,CAR,15.8%,16,16.8%,32,20.5%,29,10.7%,32,16.8%,24.0%,9.0%,3.9%,13,0.3%,16
12,1,CHI,-26.7%,4,-22.7%,1,-29.0%,1,-23.1%,1,-23.6%,-23.7%,-23.5%,4.8%,14,2.2%,9
12,2,SEA,-14.5%,10,-10.0%,7,-18.8%,3,-8.2%,12,-11.7%,-15.3%,-6.3%,10.0%,32,-0.3%,15
12,3,SF,-14.4%,3,-12.4%,4,-10.4%,6,-19.7%,2,-11.5%,-7.5%,-16.8%,6.0%,18,0.6%,13
