year,place,team,off-dvoa,last_yr,wt_off,rank,pass_off,pass_rank,rush_off,rush_rank,non-adj-total,non-adj-pass,non-adj-rush,var,var-rank,sched,sched-rank
11,1,GB,33.8%,7,33.0%,2,67.6%,1,5.5%,7,34.1%,69.5%,3.4%,3.2%,3,1.7%,26
11,2,NO,33.0%,11,39.0%,1,50.1%,3,18.5%,2,33.1%,51.4%,17.0%,6.4%,14,1.9%,27
11,3,NE,31.9%,1,31.1%,3,55.3%,2,12.6%,4,31.7%,54.0%,13.6%,5.4%,8,-0.4%,13
11,4,CAR,18.2%,32,19.6%,4,13.8%,15,32.1%,1,17.5%,13.4%,31.2%,8.0%,23,0.9%,22
11,5,SD,13.0%,4,18.8%,5,29.1%,6,1.6%,12,13.9%,30.5%,1.8%,9.6%,27,-1.0%,11
11,6,PIT,11.4%,5,13.6%,6,24.3%,7,6.6%,6,8.8%,21.3%,4.4%,7.0%,17,-2.6%,5
11,7,NYG,10.5%,10,9.3%,9,30.2%,4,-4.9%,19,10.3%,28.0%,-2.5%,5.9%,11,-0.3%,14
11,8,PHI,9.8%,3,9.7%,7,13.5%,16,17.7%,3,7.1%,12.0%,13.7%,7.1%,20,-2.1%,8
11,9,HOU,8.4%,2,5.3%,12,20.5%,9,4.3%,9,9.1%,21.1%,5.2%,7.8%,21,0.7%,21
11,10,DET,7.1%,19,9.7%,8,20.4%,10,-4.1%,16,10.1%,24.2%,-2.5%,6.4%,15,2.5%,30
11,11,ATL,6.1%,9,7.0%,11,23.2%,8,-7.3%,23,7.2%,24.6%,-6.5%,2.8%,1,3.3%,31
11,12,DAL,5.9%,21,7.3%,10,29.6%,5,-10.4%,27,6.7%,27.8%,-6.2%,4.9%,7,-0.8%,12
11,13,BAL,2.9%,12,5.1%,13,14.2%,14,3.8%,10,1.6%,13.0%,2.3%,9.4%,26,-2.6%,6
11,14,OAK,2.6%,23,-2.7%,15,11.1%,17,3.3%,11,2.9%,12.9%,2.2%,13.9%,32,0.6%,20
11,15,TEN,0.6%,20,-4.2%,17,15.3%,12,-13.4%,32,1.5%,15.8%,-11.7%,5.6%,10,-0.2%,15
11,16,BUF,0.3%,26,-12.1%,24,2.3%,19,4.5%,8,2.4%,5.1%,5.9%,11.7%,31,0.3%,18
11,17,CIN,-1.4%,17,-0.4%,14,18.3%,11,-9.8%,26,-1.2%,15.2%,-6.3%,3.9%,6,-3.9%,3
11,18,SF,-3.9%,24,-3.3%,16,15.3%,13,-7.3%,24,-3.1%,13.1%,-3.8%,6.8%,16,-1.3%,10
11,19,WAS,-7.0%,25,-4.9%,18,-1.7%,22,-5.0%,20,-8.6%,-6.2%,-2.9%,7.0%,18,0.5%,19
11,20,MIA,-7.5%,18,-10.5%,23,3.0%,18,-11.9%,29,-5.1%,2.4%,-6.3%,8.2%,24,1.4%,23
11,21,NYJ,-8.3%,16,-8.8%,22,0.4%,20,-4.9%,18,-7.5%,-0.7%,-1.9%,11.5%,30,1.5%,25
11,22,SEA,-8.7%,29,-5.3%,19,0.1%,21,-1.6%,14,-12.2%,-2.3%,-6.5%,10.5%,29,-4.0%,2
11,23,DEN,-9.9%,15,-6.8%,20,-16.2%,26,-0.5%,13,-10.5%,-16.2%,-1.6%,6.3%,13,2.0%,28
11,24,MIN,-10.2%,27,-15.7%,25,-21.3%,28,11.7%,5,-9.2%,-22.4%,15.1%,6.1%,12,1.5%,24
11,25,CLE,-11.2%,22,-8.6%,21,-3.5%,23,-12.2%,30,-10.7%,-3.0%,-11.6%,3.6%,4,-4.5%,1
11,26,TB,-11.5%,8,-21.7%,29,-11.6%,24,-2.4%,15,-14.2%,-13.6%,-6.2%,8.9%,25,0.2%,16
11,27,IND,-17.2%,6,-20.0%,27,-16.5%,27,-7.3%,22,-20.4%,-20.2%,-10.0%,7.8%,22,-1.4%,9
11,28,ARI,-18.4%,31,-20.1%,28,-21.7%,29,-4.2%,17,-17.4%,-19.1%,-5.4%,5.6%,9,-2.3%,7
11,29,KC,-19.3%,13,-18.5%,26,-14.0%,25,-13.1%,31,-16.8%,-9.8%,-12.3%,7.0%,19,2.5%,29
11,30,CHI,-21.4%,28,-26.2%,31,-21.9%,30,-7.9%,25,-18.2%,-14.2%,-9.0%,10.0%,28,3.5%,32
11,31,JAC,-26.5%,14,-23.1%,30,-45.4%,32,-5.2%,21,-23.2%,-40.7%,-3.0%,3.6%,5,0.3%,17
11,32,STL,-27.2%,30,-27.6%,32,-27.4%,31,-11.5%,28,-29.2%,-30.6%,-12.1%,3.2%,2,-2.7%,4
12,1,NE,30.8%,3,28.4%,2,53.9%,1,11.9%,4,29.3%,51.3%,11.6%,4.1%,6,-2.1%,8
12,2,DEN,22.1%,23,23.3%,3,49.7%,2,-2.8%,15,22.5%,51.8%,-4.6%,2.3%,2,3.4%,31
12,3,GB,19.5%,1,19.0%,4,40.7%,3,-0.7%,13,15.1%,33.9%,-2.2%,6.0%,15,-3.1%,7
12,4,SEA,18.5%,22,31.1%,1,37.3%,4,16.5%,1,13.6%,30.9%,12.7%,6.0%,16,-5.4%,3
12,5,SF,16.5%,18,12.7%,7,32.2%,5,12.7%,3,14.1%,26.9%,12.8%,9.5%,24,-4.7%,6
12,6,WAS,15.3%,19,16.1%,5,29.1%,6,16.4%,2,19.9%,37.5%,18.2%,4.0%,5,2.5%,26
12,7,NYG,12.8%,7,8.7%,11,22.9%,11,9.2%,5,13.9%,26.6%,7.0%,12.4%,31,1.6%,22
12,8,DET,12.3%,10,10.4%,9,24.8%,8,0.3%,12,5.8%,16.9%,-4.0%,5.5%,11,-5.5%,2
12,9,NO,11.9%,2,13.2%,6,24.7%,9,1.6%,11,12.9%,27.0%,0.2%,6.2%,17,0.3%,14
12,10,CAR,7.2%,4,12.0%,8,17.3%,12,6.0%,8,9.0%,21.9%,5.4%,10.5%,28,1.3%,19
12,11,DAL,6.1%,12,9.6%,10,25.5%,7,-9.2%,24,3.5%,21.8%,-10.2%,7.3%,20,-0.3%,13
