week,year,name,team,opp,score,fg-made,fg-att,xp-made,xp-att,pts
1,11,David Akers,SF,vs SEA,W  33-17,4,4,3,3,15
1,11,Robbie Gould,CHI,vs ATL,W  30-12,3,3,3,3,12
1,11,Sebastian Janikowski,OAK,@ DEN,W  23-20,3,3,2,2,11
1,11,Rian Lindell,BUF,@ KC,W  41-7,2,2,5,5,11
1,11,John Kasay,NO,@ GB,L 34-42,2,2,4,4,10
1,11,Neil Rackers,HOU,vs IND,W  34-7,2,2,4,4,10
1,11,Josh Scobee,,vs TEN,W  16-14,3,3,1,1,10
1,11,Billy Cundiff,BAL,vs PIT,W  35-7,2,2,3,3,9
1,11,Nick Folk,NYJ,vs DAL,W  27-24,2,2,3,3,9
1,11,Jason Hanson,DET,@ TB,W  27-20,2,2,3,3,9
1,11,Mike Nugent,CIN,@ CLE,W  27-17,2,2,3,3,9
1,11,Connor Barth,TB,vs DET,L 20-27,2,2,2,2,8
1,11,Stephen Gostkowski,NE,@ MIA,W  38-24,1,2,5,5,8
1,11,Matt Prater,DEN,vs OAK,L 20-23,2,3,2,2,8
1,11,Josh Brown,,vs PHI,L 13-31,2,3,1,1,7
1,11,Alex Henery,PHI,@ ,W  31-13,1,1,4,4,7
1,11,Dan Bailey,DAL,@ NYJ,L 24-27,1,1,3,3,6
1,11,Matt Bryant,ATL,@ CHI,L 12-30,2,2,0,0,6
1,11,Dan Carpenter,MIA,vs NE,L 24-38,1,1,3,3,6
1,11,Mason Crosby,GB,vs NO,W  42-34,0,0,6,6,6
1,11,Mike Scifres,SD,vs MIN,W  24-17,1,1,3,3,6
1,11,Phil Dawson,CLE,vs CIN,L 17-27,1,1,2,2,5
1,11,Steven Hauschka,SEA,@ SF,L 17-33,1,1,2,2,5
1,11,Ryan Longwell,MIN,@ SD,L 17-24,1,1,2,2,5
1,11,Jay Feely,ARI,vs CAR,W  28-21,0,1,4,4,4
1,11,Graham Gano,WAS,vs NYG,W  28-14,0,1,4,4,4
1,11,Olindo Mare,CAR,@ ARI,L 21-28,0,0,3,3,3
1,11,Rob Bironas,TEN,@ ,L 14-16,0,1,2,2,2
1,11,Lawrence Tynes,NYG,@ WAS,L 14-28,0,1,2,2,2
1,11,Ryan Succop,KC,vs BUF,L 7-41,0,1,1,1,1
1,11,Shaun Suisham,PIT,@ BAL,L 7-35,0,0,1,1,1
1,11,Adam Vinatieri,IND,@ HOU,L 7-34,0,1,1,1,1
2,11,Rob Bironas,TEN,vs BAL,W  26-13,4,5,2,2,14
2,11,Adam Vinatieri,IND,vs CLE,L 19-27,4,4,1,1,13
2,11,Mason Crosby,GB,@ CAR,W  30-23,3,3,3,3,12
2,11,Nick Folk,NYJ,vs ,W  32-3,3,3,3,3,12
2,11,Jason Hanson,DET,vs KC,W  48-3,2,2,6,6,12
2,11,John Kasay,NO,vs CHI,W  30-13,3,3,3,3,12
2,11,Olindo Mare,CAR,vs GB,L 23-30,3,3,2,2,11
2,11,Neil Rackers,HOU,@ MIA,W  23-13,3,3,2,2,11
2,11,Josh Brown,,@ NYG,L 16-28,3,3,1,1,10
2,11,Graham Gano,WAS,vs ARI,W  22-21,3,4,1,1,10
2,11,Mike Nugent,CIN,@ DEN,L 22-24,3,3,1,1,10
2,11,Dan Bailey,DAL,@ SF,W  27-24,2,3,3,3,9
2,11,Phil Dawson,CLE,@ IND,W  27-19,2,2,3,3,9
2,11,Stephen Gostkowski,NE,vs SD,W  35-21,2,2,3,3,9
2,11,Rian Lindell,BUF,vs OAK,W  38-35,1,2,5,5,8
2,11,Ryan Longwell,MIN,vs TB,L 20-24,2,2,2,2,8
2,11,Dan Carpenter,MIA,vs HOU,L 13-23,2,4,1,1,7
2,11,Billy Cundiff,BAL,@ TEN,L 13-26,2,2,1,1,7
2,11,Robbie Gould,CHI,@ NO,L 13-30,2,2,1,1,7
2,11,Alex Henery,PHI,@ ATL,L 31-35,1,2,4,4,7
2,11,David Akers,SF,vs DAL,L 24-27,1,1,3,3,6
2,11,Connor Barth,TB,@ MIN,W  24-20,1,1,3,3,6
2,11,Matt Prater,DEN,vs CIN,W  24-22,1,1,3,3,6
2,11,Shaun Suisham,PIT,vs SEA,W  24-0,1,2,3,3,6
2,11,Matt Bryant,ATL,vs PHI,W  35-31,0,0,5,5,5
2,11,Sebastian Janikowski,OAK,@ BUF,L 35-38,0,0,5,5,5
2,11,Lawrence Tynes,NYG,vs ,W  28-16,0,0,4,4,4
