week,year,name,team,opp,score,sacks,sack-yds,qb-hits,tackles,assists,fum-forced,fum-rec
1,11,Terrell Suggs,BAL,vs PIT,W  35-7,3.0,25.0,3,5,0,2,0
1,11,John Abraham,ATL,@ CHI,L 12-30,2.0,12.0,2,4,0,0,0
1,11,Jason Babin,PHI,@ ,W  31-13,2.0,11.0,3,4,0,0,0
1,11,Parys Haralson,SF,vs SEA,W  33-17,2.0,24.0,1,3,1,2,0
1,11,D'Qwell Jackson,CLE,vs CIN,L 17-27,2.0,16.0,2,10,1,1,0
1,11,Henry Melton,CHI,vs ATL,W  30-12,2.0,18.0,7,4,1,0,0
1,11,Jason Pierre-Paul,NYG,@ WAS,L 14-28,2.0,26.0,1,5,1,1,0
1,11,Richard Seymour,OAK,@ DEN,W  23-20,2.0,9.0,2,3,0,0,0
1,11,Justin Smith,SF,vs SEA,W  33-17,2.0,16.0,3,4,0,0,0
1,11,DeMarcus Ware,DAL,@ NYJ,L 24-27,2.0,11.0,3,3,1,0,0
1,11,Mario Williams,HOU,vs IND,W  34-7,2.0,18.0,3,2,0,1,0
1,11,Chris Neild,WAS,vs NYG,W  28-14,1.5,10.0,1,1,2,0,0
1,11,Mark Anderson,NE,@ MIA,W  38-24,1.0,6.0,1,1,0,0,0
1,11,Antwan Barnes,SD,vs MIN,W  24-17,1.0,10.0,1,2,0,0,0
1,11,Kroy Biermann,ATL,@ CHI,L 12-30,1.0,7.0,1,1,1,0,0
1,11,Stephen Bowen,WAS,vs NYG,W  28-14,1.0,7.0,2,1,1,0,0
1,11,Chris Canty,NYG,@ WAS,L 14-28,1.0,5.0,1,3,0,0,0
1,11,Adam Carriker,WAS,vs NYG,W  28-14,1.0,7.0,1,1,1,0,0
1,11,Jonathan Casillas,NO,@ GB,L 34-42,1.0,8.0,1,2,0,0,0
1,11,Patrick Chung,NE,@ MIA,W  38-24,1.0,3.0,1,9,0,0,0
1,11,Trent Cole,PHI,@ ,W  31-13,1.0,7.0,2,3,0,0,0
1,11,Drew Coleman,,vs TEN,W  16-14,1.0,8.0,1,5,0,1,0
1,11,Chris Crocker,CIN,@ CLE,W  27-17,1.0,3.0,0,3,0,1,0
1,11,Mike Devito,NYJ,vs DAL,W  27-24,1.0,1.0,0,3,0,1,0
1,11,Antonio Garay,SD,vs MIN,W  24-17,1.0,1.0,1,2,2,0,0
1,11,Joe Haden,CLE,vs CIN,L 17-27,1.0,0.0,1,1,2,0,0
1,11,Tamba Hali,KC,vs BUF,L 7-41,1.0,7.0,2,4,2,0,0
1,11,Greg Hardy,CAR,@ ARI,L 21-28,1.0,3.0,1,4,1,1,0
1,11,William Hayes,TEN,@ ,L 14-16,1.0,5.0,1,2,0,0,0
1,11,Erin Henderson,MIN,@ SD,L 17-24,1.0,1.0,1,6,3,0,0
1,11,Jason Hunter,DEN,vs OAK,L 20-23,1.0,6.0,1,5,1,1,0
1,11,Cullen Jenkins,PHI,@ ,W  31-13,1.0,6.0,3,2,0,0,0
1,11,Spencer Johnson,BUF,@ KC,W  41-7,1.0,12.0,1,2,0,0,0
1,11,Charles Johnson,CAR,@ ARI,L 21-28,1.0,11.0,1,4,0,0,0
1,11,Tommy Kelly,OAK,@ DEN,W  23-20,1.0,4.0,2,2,0,0,0
1,11,Justin King,,vs PHI,L 13-31,1.0,6.0,3,7,0,0,0
1,11,Chris Long,,vs PHI,L 13-31,1.0,5.0,2,2,0,0,0
1,11,Richard Marshall,ARI,vs CAR,W  28-21,1.0,3.0,1,3,0,0,0
1,11,Robert Mathis,IND,@ HOU,L 7-34,1.0,3.0,1,2,0,0,0
1,11,Jason McCourty,TEN,@ ,L 14-16,1.0,10.0,1,5,0,1,0
1,11,Danny McCray,DAL,@ NYJ,L 24-27,1.0,7.0,1,1,0,1,0
1,11,Ray McDonald,SF,vs SEA,W  33-17,1.0,2.0,3,6,0,0,0
1,11,Quintin Mikell,,vs PHI,L 13-31,1.0,9.0,1,4,0,1,0
1,11,Reggie Nelson,CIN,@ CLE,W  27-17,1.0,8.0,1,7,2,0,0
1,11,Amobi Okoye,CHI,vs ATL,W  30-12,1.0,9.0,1,1,0,0,0
1,11,Calvin Pace,NYJ,vs DAL,W  27-24,1.0,4.0,1,3,0,0,0
1,11,Julius Peppers,CHI,vs ATL,W  30-12,1.0,1.0,1,1,1,0,1
1,11,Kerry Rhodes,ARI,vs CAR,W  28-21,1.0,6.0,1,5,2,0,0
1,11,Matt Roth,,vs TEN,W  16-14,1.0,6.0,1,1,0,0,0
1,11,Bart Scott,NYJ,vs DAL,W  27-24,1.0,7.0,1,7,1,0,0
1,11,Bryan Scott,BUF,@ KC,W  41-7,1.0,2.0,1,8,0,0,0
1,11,Matt Shaughnessy,OAK,@ DEN,W  23-20,1.0,9.0,1,2,0,0,0
1,11,Lawrence Sidbury,ATL,@ CHI,L 12-30,1.0,2.0,2,3,0,0,0
1,11,Antonio Smith,HOU,vs IND,W  34-7,1.0,7.0,2,1,2,1,0
1,11,Eric Smith,NYJ,vs DAL,W  27-24,1.0,4.0,1,5,2,0,0
1,11,Anthony Spencer,DAL,@ NYJ,L 24-27,1.0,2.0,2,3,0,1,0
1,11,Darryl Tapp,PHI,@ ,W  31-13,1.0,4.0,2,3,0,1,0
1,11,Dave Tollefson,NYG,@ WAS,L 14-28,1.0,16.0,2,2,0,0,0
1,11,Stephen Tulloch,DET,@ TB,W  27-20,1.0,4.0,2,4,0,0,0
