week;year;GID;name;pos;team;h/a;oppt;fd points;fd salary
1;2011;7027;SF;Def;sfo;h;sea;24;5000
1;2011;7003;BAL;Def;bal;h;pit;22;5000
1;2011;7006;CHI;Def;chi;h;atl;21;5500
1;2011;7021;NYJ;Def;nyj;h;dal;18;5500
1;2011;7023;PHI;Def;phi;a;stl;17;5100
1;2011;7032;HOU;Def;hou;h;ind;17;5000
1;2011;7031;WAS;Def;was;h;nyg;15;5000
1;2011;7004;BUF;Def;buf;a;kan;12;5000
1;2011;7022;OAK;Def;oak;a;den;12;5000
1;2011;7002;ATL;Def;atl;a;chi;12;5000
1;2011;7001;ARI;Def;ari;h;car;12;5000
1;2011;7017;MIN;Def;min;a;sdg;12;5100
1;2011;7012;GB;Def;gnb;h;nor;10;5100
1;2011;7010;DEN;Def;den;h;oak;9;5000
1;2011;7029;TB;Def;tam;h;det;8;5000
1;2011;7009;DAL;Def;dal;a;nyj;8;5000
1;2011;7011;DET;Def;det;a;tam;7;5000
1;2011;7018;NE;Def;nwe;a;mia;6;5000
1;2011;7013;IND;Def;ind;a;hou;6;5000
1;2011;7007;CIN;Def;cin;a;cle;5;5000
1;2011;7014;JAC;Def;jac;h;ten;5;5000
1;2011;7020;NYG;Def;nyg;a;was;5;5300
1;2011;7030;TEN;Def;ten;a;jac;5;5000
1;2011;7026;SD;Def;sdg;h;min;5;5000
1;2011;7019;NO;Def;nor;a;gnb;4;5000
1;2011;7008;CLE;Def;cle;h;cin;4;5000
1;2011;7025;LARM;Def;stl;h;phi;4;5000
1;2011;7005;CAR;Def;car;a;ari;3;5000
1;2011;7015;KC;Def;kan;h;buf;-1;5000
1;2011;7028;SEA;Def;sea;a;sfo;-1;5000
1;2011;7016;MIA;Def;mia;h;nwe;-1;5000
1;2011;7024;PIT;Def;pit;a;bal;-3;5500
2;2011;7011;DET;Def;det;h;kan;21;5000
2;2011;7021;NYJ;Def;nyj;h;jac;19;5500
2;2011;7024;PIT;Def;pit;h;sea;15;5300
2;2011;7020;NYG;Def;nyg;h;stl;13;5300
2;2011;7030;TEN;Def;ten;h;bal;13;5000
2;2011;7019;NO;Def;nor;h;chi;12;5000
2;2011;7032;HOU;Def;hou;a;mia;12;5100
2;2011;7012;GB;Def;gnb;a;car;12;5300
2;2011;7018;NE;Def;nwe;h;sdg;10;5000
2;2011;7009;DAL;Def;dal;a;sfo;8;5000
2;2011;7008;CLE;Def;cle;a;ind;7;5000
2;2011;7001;ARI;Def;ari;a;was;7;5000
2;2011;7031;WAS;Def;was;h;ari;7;5000
2;2011;7007;CIN;Def;cin;a;den;6;5000
2;2011;7029;TB;Def;tam;a;min;5;5000
2;2011;7027;SF;Def;sfo;h;dal;5;5100
2;2011;7002;ATL;Def;atl;h;phi;5;5000
2;2011;7023;PHI;Def;phi;a;atl;4;5100
2;2011;7014;JAC;Def;jac;a;nyj;4;5000
2;2011;7025;LARM;Def;stl;a;nyg;4;5000
