week;year;GID;name;pos;team;h/a;oppt;fd points;fd salary
1;2011;6001;David Akers;PK;sfo;h;sea;15;6100
1;2011;6096;Robbie Gould;PK;chi;h;atl;13;5400
1;2011;6048;Sebastian Janikowski;PK;oak;a;den;13;6200
1;2011;6088;Josh Scobee;PK;jac;h;ten;12;5400
1;2011;6120;Nick Folk;PK;nyj;h;dal;11;5700
1;2011;6053;Rian Lindell;PK;buf;a;kan;11;5000
1;2011;6049;Neil Rackers;PK;hou;h;ind;10;5700
1;2011;6027;John Kasay;PK;nor;a;gnb;10;5200
1;2011;6093;Mike Nugent;PK;cin;a;cle;10;5400
1;2011;6022;Jason Hanson;PK;det;a;tam;9;5600
1;2011;6072;Billy Cundiff;PK;bal;h;pit;9;5500
1;2011;6098;Stephen Gostkowski;PK;nwe;a;mia;8;5300
1;2011;6166;Connor Barth;PK;tam;h;det;8;5300
1;2011;6079;Josh Brown;PK;stl;h;phi;8;5800
1;2011;6159;Matt Prater;PK;den;h;oak;8;5200
1;2011;6071;Matt Bryant;PK;atl;a;chi;7;5800
1;2011;6199;Alex Henery;PK;phi;a;stl;7;5000
1;2011;6194;Dan Bailey;PK;dal;a;nyj;6;5000
1;2011;6163;Dan Carpenter;PK;mia;h;nwe;6;5700
1;2011;6104;Mason Crosby;PK;gnb;h;nor;6;5500
1;2011;6028;Ryan Longwell;PK;min;a;sdg;5;5000
1;2011;6016;Phil Dawson;PK;cle;h;cin;5;5000
1;2011;6167;Steven Hauschka;PK;sea;a;sfo;5;5000
1;2011;6062;Jay Feely;PK;ari;h;car;4;5400
1;2011;6172;Graham Gano;PK;was;h;nyg;4;5200
1;2011;6029;Olindo Mare;PK;car;a;ari;3;5300
1;2011;6090;Lawrence Tynes;PK;nyg;a;was;2;5300
1;2011;6094;Rob Bironas;PK;ten;a;jac;2;5500
1;2011;6037;Adam Vinatieri;PK;ind;a;hou;1;5800
1;2011;6169;Ryan Succop;PK;kan;h;buf;1;5200
1;2011;6097;Shaun Suisham;PK;pit;a;bal;1;6200
1;2011;6086;Nate Kaeding;PK;sdg;h;min;0;6000
1;2011;6173;David Buehler;PK;dal;a;nyj;0;5600
2;2011;6037;Adam Vinatieri;PK;ind;h;cle;15;5700
2;2011;6094;Rob Bironas;PK;ten;h;bal;15;5500
2;2011;6027;John Kasay;PK;nor;h;chi;14;5100
2;2011;6022;Jason Hanson;PK;det;h;kan;14;5500
2;2011;6120;Nick Folk;PK;nyj;h;jac;13;5700
2;2011;6104;Mason Crosby;PK;gnb;a;car;12;5500
2;2011;6049;Neil Rackers;PK;hou;a;mia;11;5100
2;2011;6029;Olindo Mare;PK;car;h;gnb;11;5300
2;2011;6093;Mike Nugent;PK;cin;a;den;11;5300
2;2011;6194;Dan Bailey;PK;dal;a;sfo;10;5000
2;2011;6098;Stephen Gostkowski;PK;nwe;h;sdg;10;5300
2;2011;6079;Josh Brown;PK;stl;a;nyg;10;5700
2;2011;6172;Graham Gano;PK;was;h;ari;10;5100
2;2011;6016;Phil Dawson;PK;cle;a;ind;9;5000
2;2011;6028;Ryan Longwell;PK;min;h;tam;8;5000
2;2011;6096;Robbie Gould;PK;chi;a;nor;8;5500
2;2011;6163;Dan Carpenter;PK;mia;h;hou;8;5700
2;2011;6072;Billy Cundiff;PK;bal;a;ten;8;5500
2;2011;6001;David Akers;PK;sfo;h;dal;8;6100
2;2011;6053;Rian Lindell;PK;buf;h;oak;8;5000
2;2011;6199;Alex Henery;PK;phi;a;atl;7;5000
2;2011;6097;Shaun Suisham;PK;pit;h;sea;6;6100
2;2011;6166;Connor Barth;PK;tam;a;min;6;5300
2;2011;6159;Matt Prater;PK;den;h;cin;6;5100
2;2011;6071;Matt Bryant;PK;atl;h;phi;5;5700
2;2011;6088;Josh Scobee;PK;jac;a;nyj;5;5500
2;2011;6048;Sebastian Janikowski;PK;oak;a;buf;5;6100
2;2011;6090;Lawrence Tynes;PK;nyg;h;stl;4;5300
2;2011;6095;Nick Novak;PK;sdg;a;nwe;3;5000
2;2011;6062;Jay Feely;PK;ari;a;was;3;5300
2;2011;6169;Ryan Succop;PK;kan;a;det;3;5100
2;2011;6173;David Buehler;PK;dal;a;sfo;0;5500
2;2011;6167;Steven Hauschka;PK;sea;a;pit;0;5000
3;2011;6194;Dan Bailey;PK;dal;h;was;21;5200
3;2011;6022;Jason Hanson;PK;det;a;min;17;5700
3;2011;6049;Neil Rackers;PK;hou;a;nor;15;5300
3;2011;6028;Ryan Longwell;PK;min;h;det;13;5200
