week;year;GID;name;pos;team;h/a;oppt;fd points;fd salary
1;2011;2647;Mike Tolbert;RB;sdg;h;min;31.8;5900
1;2011;2608;Ray Rice;RB;bal;h;pit;28.9;8500
1;2011;2707;LeSean McCoy;RB;phi;a;stl;26.7;8600
1;2011;2613;Matt Forte;RB;chi;h;atl;24.3;7800
1;2011;2495;Reggie Bush;RB;mia;h;nwe;19.9;6100
1;2011;2454;Cedric Benson;RB;cin;a;cle;18.8;6700
1;2011;2704;Beanie Wells;RB;ari;h;car;18.2;6300
1;2011;2484;Darren Sproles;RB;nor;a;gnb;17.7;5300
1;2011;2604;Tim Hightower;RB;was;h;nyg;17.2;5400
1;2011;2487;Carnell Williams;RB;stl;h;phi;16.5;5400
1;2011;2603;Darren McFadden;RB;oak;a;den;16.1;9100
1;2011;2502;Maurice Jones-Drew;RB;jac;h;ten;15.7;8500
1;2011;2779;Ben Tate;RB;hou;h;ind;15.6;4500
1;2011;2434;Michael Turner;RB;atl;a;chi;13.5;7500
1;2011;2720;Jahvid Best;RB;det;a;tam;13.4;6700
1;2011;2754;Ryan Mathews;RB;sdg;h;min;13.3;7100
1;2011;2629;Jamaal Charles;RB;kan;h;buf;13;8700
1;2011;2520;Fred Jackson;RB;buf;a;kan;12.2;5700
1;2011;2616;Felix Jones;RB;dal;a;nyj;12.1;6700
1;2011;2270;LaDainian Tomlinson;RB;nyj;h;dal;11.9;6300
1;2011;2535;Ahmad Bradshaw;RB;nyg;a;was;11.9;7400
1;2011;2620;Peyton Hillis;RB;cle;h;cin;11.7;7900
1;2011;2777;James Starks;RB;gnb;h;nor;11.7;5100
1;2011;2418;Steven Jackson;RB;stl;h;phi;11.6;7400
1;2011;2553;Adrian Peterson;RB;min;a;sdg;11.4;9300
1;2011;2445;Earnest Graham;RB;tam;h;det;11.1;5300
1;2011;2665;Marcel Reece;RB;oak;a;den;10.9;4600
1;2011;2435;Derrick Ward;RB;hou;h;ind;9.9;4900
1;2011;2650;BenJarvus Green-Ellis;RB;nwe;a;mia;9.4;6100
1;2011;2467;Frank Gore;RB;sfo;h;sea;9.3;8300
1;2011;2598;Pierre Thomas;RB;nor;a;gnb;8.8;5900
1;2011;2750;Deji Karim;RB;jac;h;ten;8.7;4500
1;2011;2775;C.J. Spiller;RB;buf;a;kan;8.6;5100
1;2011;2549;John Kuhn;RB;gnb;h;nor;8.2;4600
1;2011;2689;Danny Woodhead;RB;nwe;a;mia;8;6100
1;2011;2645;Chris Johnson;RB;ten;a;jac;7.9;9100
1;2011;2669;Lance Ball;RB;den;h;oak;7.4;4500
1;2011;2189;Ricky Williams;RB;bal;h;pit;7.2;5500
1;2011;3953;Dexter McCluster;RB;kan;h;buf;7.2;4500
1;2011;2563;Jason Snelling;RB;atl;a;chi;6.7;5600
1;2011;2496;Joseph Addai;RB;ind;a;hou;6.2;6100
1;2011;2373;Willis McGahee;RB;den;h;oak;6;4800
1;2011;2552;Marshawn Lynch;RB;sea;a;sfo;5.7;6300
1;2011;2551;Brian Leonard;RB;cin;a;cle;5.4;4500
1;2011;2580;Ryan Grant;RB;gnb;h;nor;5;6700
1;2011;2612;Jonathan Stewart;RB;car;a;ari;5;5700
1;2011;2818;Jacquizz Rodgers;RB;atl;a;chi;4.8;4500
1;2011;2706;Knowshon Moreno;RB;den;h;oak;4.7;7400
1;2011;4439;James Casey;RB;hou;h;ind;4.4;4500
1;2011;2500;DeAngelo Williams;RB;car;a;ari;4.1;6900
1;2011;2793;Mark Ingram;RB;nor;a;gnb;4;5500
1;2011;2310;Maurice Morris;RB;det;a;tam;3.9;5100
1;2011;2709;Shonn Greene;RB;nyj;h;dal;3.8;6300
1;2011;2815;Jamie Harper;RB;ten;a;jac;3.6;4500
1;2011;2536;Michael Bush;RB;oak;a;den;3;5900
1;2011;2472;Brandon Jacobs;RB;nyg;a;was;2.9;6100
1;2011;2639;Jacob Hester;RB;sdg;h;min;2.8;4500
1;2011;2503;Jerome Harrison;RB;det;a;tam;2.7;4500
1;2011;2642;Justin Forsett;RB;sea;a;sfo;2.6;5100
1;2011;2821;Johnny White;RB;buf;a;kan;2.6;4500
1;2011;2811;Delone Carter;RB;ind;a;hou;2.5;4500
1;2011;2635;Rashard Mendenhall;RB;pit;a;bal;2.5;7700
1;2011;2713;Kahlil Bell;RB;chi;h;atl;2.4;4500
1;2011;2626;Steve Slaton;RB;mia;h;nwe;2.3;4500
1;2011;2657;Spencer Larsen;RB;den;h;oak;2;4500
1;2011;2426;Mewelde Moore;RB;pit;a;bal;2;4500
1;2011;2738;Montario Hardesty;RB;cle;h;cin;1.8;4500
1;2011;2831;DeMarco Murray;RB;dal;a;nyj;1.8;4500
1;2011;2531;Montell Owens;RB;jac;h;ten;1.7;4500
1;2011;2668;LaRod Stephens-Howling;RB;ari;h;car;1.7;4500
1;2011;2736;Toby Gerhart;RB;min;a;sdg;1.6;4500
1;2011;2721;LeGarrette Blount;RB;tam;h;det;1.5;6700
1;2011;2649;Kregg Lumpkin;RB;tam;h;det;1.4;4500
1;2011;2617;Tashard Choice;RB;buf;a;kan;1.4;5100
1;2011;2507;Leon Washington;RB;sea;a;sfo;1.2;4500
1;2011;2677;Isaac Redman;RB;pit;a;bal;1.2;4500
1;2011;2816;Dion Lewis;RB;phi;a;stl;1.2;4500
1;2011;2760;Brit Miller;RB;stl;h;phi;1.2;4500
1;2011;2822;Anthony Sherman;RB;ari;h;car;1.1;4500
1;2011;2601;Jackie Battle;RB;kan;h;buf;1.1;4500
