week;year;GID;name;pos;team;h/a;oppt;fd points;fd salary
1;2011;4376;Scott Chandler;TE;buf;a;kan;20.8;4500
1;2011;4498;Aaron Hernandez;TE;nwe;a;mia;19.8;5700
1;2011;4494;Rob Gronkowski;TE;nwe;a;mia;17.6;5700
1;2011;4493;Jermaine Gresham;TE;cin;a;cle;14.8;5100
1;2011;4420;Dustin Keller;TE;nyj;h;dal;14.6;5500
1;2011;4482;Ed Dickson;TE;bal;h;pit;14.4;4500
1;2011;4262;Jason Witten;TE;dal;a;nyj;14;7100
1;2011;4492;Jimmy Graham;TE;nor;a;gnb;13.6;5500
1;2011;4340;Jeff King;TE;ari;h;car;13.1;4500
1;2011;4425;Fred Davis;TE;was;h;nyg;13;4500
1;2011;4292;Ben Watson;TE;cle;h;cin;12;5600
1;2011;4270;Antonio Gates;TE;sdg;h;min;11.4;8300
1;2011;4443;Evan Moore;TE;cle;h;cin;11;4500
1;2011;4327;Anthony Fasano;TE;mia;h;nwe;10.7;5100
1;2011;4368;Greg Olsen;TE;car;a;ari;9.8;4800
1;2011;4051;Tony Gonzalez;TE;atl;a;chi;9.7;5700
1;2011;4294;Kellen Winslow;TE;tam;h;det;9.6;5700
1;2011;4328;Tony Scheffler;TE;det;a;tam;8.1;4500
1;2011;4371;Matt Spaeth;TE;chi;h;atl;7.7;4500
1;2011;4462;Brandon Pettigrew;TE;det;a;tam;7.7;5600
1;2011;4323;Vernon Davis;TE;sfo;h;sea;7.2;6300
1;2011;3881;Jake Ballard;TE;nyg;a;was;6.9;4500
1;2011;4410;Jermichael Finley;TE;gnb;h;nor;6.8;7500
1;2011;4211;Jeremy Shockey;TE;car;a;ari;6.6;4900
1;2011;4248;Dallas Clark;TE;ind;a;hou;5.9;6900
1;2011;4311;Heath Miller;TE;pit;a;bal;5.7;4900
1;2011;4516;Dennis Pitta;TE;bal;h;pit;5.5;4500
1;2011;4177;Todd Heap;TE;ari;h;car;5;5700
1;2011;4337;Daniel Fells;TE;den;h;oak;4.7;4500
1;2011;4325;Leonard Pope;TE;kan;h;buf;3.9;4500
1;2011;4324;Marcedes Lewis;TE;jac;h;ten;3.8;6100
1;2011;4481;Jeff Cumberland;TE;nyj;h;dal;3.8;4500
1;2011;4223;Randy McMichael;TE;sdg;h;min;3.5;4500
1;2011;4403;Kellen Davis;TE;chi;h;atl;3.3;4500
1;2011;4281;Chris Cooley;TE;was;h;nyg;3.1;5800
1;2011;4301;Billy Bajema;TE;stl;h;phi;3.1;4500
1;2011;4433;John Phillips;TE;dal;a;nyj;2.9;4500
1;2011;4367;Zach Miller;TE;sea;a;sfo;2.9;5800
1;2011;4306;Joel Dreessen;TE;hou;h;ind;2.6;4800
1;2011;4538;Lance Kendricks;TE;stl;h;phi;2.3;4500
1;2011;4504;Anthony McCoy;TE;sea;a;sfo;2.2;4500
1;2011;4440;Jake O'Connell;TE;kan;h;buf;2;4500
1;2011;4457;Brandon Myers;TE;oak;a;den;2;4500
1;2011;4363;Brent Celek;TE;phi;a;stl;1.8;5100
1;2011;4335;Owen Daniels;TE;hou;h;ind;1.7;5300
1;2011;4437;Jared Cook;TE;ten;a;jac;1.2;4500
1;2011;4480;Tom Crabtree;TE;gnb;h;nor;0.9;4500
1;2011;4424;Craig Stevens;TE;ten;a;jac;0.7;4500
1;2011;4360;Delanie Walker;TE;sfo;h;sea;0.4;4500
1;2011;4544;Colin Cochart;TE;cin;a;cle;0;4500
1;2011;4138;Joe Zelenka;TE;atl;a;chi;0;4500
1;2011;4391;Clark Harris;TE;cin;a;cle;0;4500
1;2011;4171;Mike Leach;TE;ari;h;car;0;4500
1;2011;4537;Kyle Rudolph;TE;min;a;sdg;0;4500
1;2011;4453;Dan Gronkowski;TE;cle;h;cin;0;4500
1;2011;4513;Logan Paulsen;TE;was;h;nyg;0;4500
1;2011;4186;Justin Snow;TE;ind;a;hou;0;4500
1;2011;4485;Brody Eldridge;TE;ind;a;hou;0;4500
1;2011;4431;Matthew Mulligan;TE;nyj;h;dal;0;4500
1;2011;4293;Kris Wilson;TE;bal;h;pit;0;4500
1;2011;4319;Stephen Spach;TE;stl;h;phi;0;4500
1;2011;4458;Bear Pascoe;TE;nyg;a;was;0;4500
1;2011;4534;Julius Thomas;TE;den;h;oak;0;4500
1;2011;4475;Richie Brockel;TE;car;a;ari;0;4900
1;2011;4348;David Thomas;TE;nor;a;gnb;0;4500
1;2011;4503;Jeron Mastrud;TE;mia;h;nwe;0;4500
1;2011;4370;Dante Rosario;TE;den;h;oak;0;4500
1;2011;4527;Weslye Saunders;TE;pit;a;bal;0;4500
1;2011;4076;Jim Kleinsasser;TE;min;a;sdg;0;4500
1;2011;4271;Will Heller;TE;det;a;tam;0;4500
1;2011;4542;Virgil Green;TE;den;h;oak;0;4500
1;2011;4467;Kory Sperry;TE;sdg;h;min;0;4500
1;2011;2806;Allen Reisner;TE;min;a;sdg;0;4500
1;2011;4286;Ben Hartsock;TE;car;a;ari;0;4500
1;2011;4257;Visanthe Shiancoe;TE;min;a;sdg;0;4800
1;2011;4314;Alex Smith;TE;cle;h;cin;0;4500
1;2011;4411;Jacob Tamme;TE;ind;a;hou;0;5400
1;2011;4539;Rob Housler;TE;ari;h;car;0;4500
1;2011;4545;Richard Gordon;TE;oak;a;den;0;4500
1;2011;4532;Luke Stocker;TE;tam;h;det;0;4500
1;2011;4155;Brian Jennings;TE;sfo;h;sea;0;4500
1;2011;4536;D.J. Williams;TE;gnb;h;nor;0;4500
1;2011;4491;Garrett Graham;TE;hou;h;ind;0;4500
1;2011;3318;David Martin;TE;buf;a;kan;0;4500
1;2011;4074;Reggie Kelly;TE;atl;a;chi;0;4500
1;2011;4512;Michael Palmer;TE;atl;a;chi;0;4500
1;2011;4518;Andrew Quarless;TE;gnb;h;nor;0;4500
1;2011;4450;David Johnson;TE;pit;a;bal;0;4500
1;2011;4495;Clay Harbor;TE;phi;a;stl;0;4500
1;2011;4332;Dominique Byrd;TE;was;h;nyg;0;4500
2;2011;4051;Tony Gonzalez;TE;atl;h;phi;23.8;5700
2;2011;4494;Rob Gronkowski;TE;nwe;h;sdg;22.6;5700
2;2011;4420;Dustin Keller;TE;nyj;h;jac;19.1;5500
2;2011;4425;Fred Davis;TE;was;h;ari;17.6;5500
2;2011;4498;Aaron Hernandez;TE;nwe;h;sdg;15.7;5700
2;2011;4262;Jason Witten;TE;dal;a;sfo;13.7;7100
2;2011;4248;Dallas Clark;TE;ind;h;cle;11.2;6500
2;2011;4492;Jimmy Graham;TE;nor;h;chi;10.9;5700
2;2011;4360;Delanie Walker;TE;sfo;h;dal;10.8;4500
2;2011;4340;Jeff King;TE;ari;a;was;10.6;4700
2;2011;4328;Tony Scheffler;TE;det;h;kan;10.1;4500
2;2011;4335;Owen Daniels;TE;hou;a;mia;10;5100
2;2011;4410;Jermichael Finley;TE;gnb;a;car;9.3;7300
2;2011;4376;Scott Chandler;TE;buf;h;oak;8.6;5300
2;2011;4443;Evan Moore;TE;cle;a;ind;8.1;4700
2;2011;4211;Jeremy Shockey;TE;car;h;gnb;7.1;4900
2;2011;4294;Kellen Winslow;TE;tam;a;min;6.4;5700
2;2011;4363;Brent Celek;TE;phi;a;atl;6.3;4900
2;2011;4437;Jared Cook;TE;ten;h;bal;4.7;4500
2;2011;4461;Zach Miller;TE;jac;a;nyj;4.3;4500
2;2011;4257;Visanthe Shiancoe;TE;min;h;tam;4.3;4700
2;2011;4368;Greg Olsen;TE;car;h;gnb;3.9;4700
2;2011;4482;Ed Dickson;TE;bal;a;ten;3.5;5300
2;2011;4314;Alex Smith;TE;cle;a;ind;3.4;4500
2;2011;4516;Dennis Pitta;TE;bal;a;ten;3.4;4500
2;2011;4538;Lance Kendricks;TE;stl;a;nyg;3.1;4500
2;2011;4323;Vernon Davis;TE;sfo;h;dal;2.8;6100
2;2011;4292;Ben Watson;TE;cle;a;ind;2.6;5700
2;2011;4457;Brandon Myers;TE;oak;a;buf;2.6;4500
2;2011;4532;Luke Stocker;TE;tam;a;min;2.2;4500
2;2011;4311;Heath Miller;TE;pit;h;sea;2.1;4900
