week;year;GID;name;pos;team;h/a;oppt;fd points;fd salary
1;2011;3328;Steve Smith;WR;car;a;ari;33.8;5900
1;2011;3529;Wes Welker;WR;nwe;a;mia;32;6700
1;2011;3824;Kenny Britt;WR;ten;a;jac;28.1;7100
1;2011;3677;Calvin Johnson;WR;det;a;tam;23.8;7600
1;2011;3303;Reggie Wayne;WR;ind;a;hou;20.1;7600
1;2011;3770;DeSean Jackson;WR;phi;a;stl;19.2;7300
1;2011;3437;Andre Johnson;WR;hou;h;ind;19;8500
1;2011;3506;Devery Henderson;WR;nor;a;gnb;19;4500
1;2011;3587;Greg Jennings;WR;gnb;h;nor;18.4;7800
1;2011;3729;Early Doucet;WR;ari;h;car;18;4500
1;2011;3610;Miles Austin;WR;dal;a;nyj;17.5;7100
1;2011;3627;Brandon Marshall;WR;mia;h;nwe;17.4;7100
1;2011;3751;Jordy Nelson;WR;gnb;h;nor;16.7;4700
1;2011;5125;Randall Cobb;WR;gnb;h;nor;16.5;4500
1;2011;5136;Doug Baldwin;WR;sea;a;sfo;16.3;0
1;2011;3867;Hakeem Nicks;WR;nyg;a;was;15.7;8300
1;2011;3681;Robert Meachem;WR;nor;a;gnb;15.5;5400
1;2011;3423;Anquan Boldin;WR;bal;h;pit;15.4;6300
1;2011;3241;Plaxico Burress;WR;nyj;h;dal;15.2;4500
1;2011;3809;Mike Wallace;WR;pit;a;bal;14.7;7500
1;2011;3891;Dez Bryant;WR;dal;a;nyj;14.6;6900
1;2011;3737;Steve Johnson;WR;buf;a;kan;14.6;7200
1;2011;5078;Mike Williams;WR;tam;h;det;13;6900
1;2011;3349;Jabar Gaffney;WR;was;h;nyg;12.9;5700
1;2011;3902;Eric Decker;WR;den;h;oak;12.8;4500
1;2011;3359;Deion Branch;WR;nwe;a;mia;12.8;6100
1;2011;3858;Brian Hartline;WR;mia;h;nwe;12.7;5400
1;2011;3670;Ted Ginn Jr.;WR;sfo;h;sea;12;4500
1;2011;3444;Brandon Lloyd;WR;stl;h;phi;11.9;7500
1;2011;3678;Jacoby Jones;WR;hou;h;ind;11.8;5200
1;2011;3758;Davone Bess;WR;mia;h;nwe;11.7;6000
1;2011;5091;A.J. Green;WR;cin;a;cle;10.6;5300
1;2011;3300;Santana Moss;WR;was;h;nyg;10.6;6800
1;2011;3424;Nate Burleson;WR;det;a;tam;10.5;6000
1;2011;3571;Roddy White;WR;atl;a;chi;10.1;7900
1;2011;3508;Michael Jenkins;WR;min;a;sdg;10.1;5400
1;2011;3586;Santonio Holmes;WR;nyj;h;dal;10;6600
1;2011;3581;Nate Washington;WR;ten;a;jac;9.7;5500
1;2011;5089;Julio Jones;WR;atl;a;chi;9.6;5500
1;2011;3810;Mike Thomas;WR;jac;h;ten;9.5;6000
1;2011;3865;Anthony Armstrong;WR;was;h;nyg;9.4;5700
1;2011;3808;Mohamed Massaquoi;WR;cle;h;cin;9.2;4700
1;2011;3802;Percy Harvin;WR;min;a;sdg;9.2;7000
1;2011;3215;Hines Ward;WR;pit;a;bal;9.2;5900
1;2011;3602;Marques Colston;WR;nor;a;gnb;9.1;7000
1;2011;3983;Emmanuel Sanders;WR;pit;a;bal;9;4500
1;2011;3946;Brandon LaFell;WR;car;a;ari;9;4800
1;2011;3967;David Nelson;WR;buf;a;kan;8.6;4500
1;2011;3501;Larry Fitzgerald;WR;ari;h;car;7.7;7700
1;2011;3527;Roy Williams;WR;chi;h;atl;7.5;5700
1;2011;3829;Johnny Knox;WR;chi;h;atl;7.5;6000
1;2011;3593;Devin Hester;WR;chi;h;atl;7.5;5300
1;2011;3995;Golden Tate;WR;sea;a;sfo;7.3;4500
1;2011;3941;Donald Jones;WR;buf;a;kan;7.3;4500
1;2011;3673;Jason Hill;WR;jac;h;ten;7.3;4500
1;2011;3851;Danny Amendola;WR;stl;h;phi;7;5700
1;2011;3762;Mario Manningham;WR;nyg;a;was;6.9;6600
1;2011;3862;Brandon Gibson;WR;stl;h;phi;6.5;5400
1;2011;3848;Darrius Heyward-Bey;WR;oak;a;den;6.4;4500
1;2011;3744;Jerome Simpson;WR;cin;a;cle;6.4;4700
1;2011;3058;Donald Driver;WR;gnb;h;nor;6.1;5500
1;2011;3547;Malcom Floyd;WR;sdg;h;min;6;6700
1;2011;3611;Jason Avant;WR;phi;a;stl;5.5;4800
1;2011;3573;Mike Williams;WR;sea;a;sfo;5.4;5700
1;2011;3754;Pierre Garcon;WR;ind;a;hou;5.4;6700
1;2011;3760;Matthew Slater;WR;nwe;a;mia;5.1;4500
1;2011;3885;Arrelious Benn;WR;tam;h;det;4.7;5500
1;2011;3969;Preston Parker;WR;tam;h;det;4.4;4500
1;2011;3748;Eddie Royal;WR;den;h;oak;4.3;5300
1;2011;3545;Braylon Edwards;WR;sfo;h;sea;4.2;6200
1;2011;3550;Vincent Jackson;WR;sdg;h;min;4.1;6700
1;2011;3774;Josh Morgan;WR;sfo;h;sea;3.8;5100
1;2011;3696;Steve Breaston;WR;kan;h;buf;3.6;5800
1;2011;3630;Ben Obomanu;WR;sea;a;sfo;3.5;5000
1;2011;3126;Derrick Mason;WR;hou;h;ind;3.4;6100
1;2011;5070;Bryan Walters;WR;sdg;h;min;3.1;4500
1;2011;3978;Andre Roberts;WR;ari;h;car;3.1;4500
1;2011;3622;Domenik Hixon;WR;nyg;a;was;3.1;4500
1;2011;3876;Kevin Ogletree;WR;dal;a;nyj;2.9;4500
1;2011;3661;Dwayne Bowe;WR;kan;h;buf;2.7;7900
1;2011;3682;Legedu Naanee;WR;car;a;ari;2.6;4700
1;2011;5106;Greg Salas;WR;stl;h;phi;2.6;4500
1;2011;3830;Jeremy Maclin;WR;phi;a;stl;2.5;6900
1;2011;3889;Dezmon Briscoe;WR;tam;h;det;2.4;4500
1;2011;3474;Antonio Brown;WR;pit;a;bal;2.4;4500
1;2011;3742;Earl Bennett;WR;chi;h;atl;2.1;5200
1;2011;3731;Harry Douglas;WR;atl;a;chi;2;4500
1;2011;3597;Rashied Davis;WR;det;a;tam;1.9;4500
1;2011;3314;Chad Ochocinco;WR;nwe;a;mia;1.9;6900
1;2011;3458;Kevin Walter;WR;hou;h;ind;1.9;5400
1;2011;3496;Keary Colbert;WR;kan;h;buf;1.8;0
1;2011;5090;Greg Little;WR;cle;h;cin;1.7;5300
1;2011;3577;Joshua Cribbs;WR;cle;h;cin;1.5;4500
1;2011;3826;Julian Edelman;WR;nwe;a;mia;1.4;4500
1;2011;3910;Jacoby Ford;WR;oak;a;den;1.4;5900
1;2011;3592;Maurice Stovall;WR;det;a;tam;1.3;4500
1;2011;3727;Matt Willis;WR;den;h;oak;1.1;4500
1;2011;3828;Jordan Norwood;WR;cle;h;cin;1.1;4500
1;2011;5074;Damian Williams;WR;ten;a;jac;1;4500
1;2011;3691;Mike Sims-Walker;WR;jac;h;ten;1;5700
1;2011;3872;Michael Crabtree;WR;sfo;h;sea;0.9;5800
1;2011;5137;Dane Sanzenbacher;WR;chi;h;atl;0.7;0
1;2011;3679;James Jones;WR;gnb;h;nor;0.6;5400
1;2011;3985;Jordan Shipley;WR;cin;a;cle;0.4;5200
1;2011;3949;Marc Mariani;WR;ten;a;jac;0;4500
