"Player","Position","Salary","Predicted Points","Actual Points"
"Jason Witten","TE","5600","10.3838718182","4.8"
"SD","Def","4600","12.5124684561","13"
"Julian Edelman","WR","6400","12.4788999459","12.3"
"Dez Bryant","WR","8000","12.9122983901","9.7"
"Brandin Cooks","WR","7300","12.4095302803","0"
"Stephen Gostkowski","PK","4800","10.1208426327","11"
"Dak Prescott","QB","8000","20.5040115548","21.7"
"Ezekiel Elliott","RB","8600","14.1072396627","25"
"Tim Hightower","RB","6500","11.2190080749","17.5"
"Total","","59800.0","116.648170816","115.0"
