"Player","Position","Salary","Predicted Points","Actual Points"
"Tom Brady","QB","9100","19.267997991408173","19.04"
"Willie Snead","WR","6400","11.74594676328641","12.3"
"Rishard Matthews","WR","6200","11.801415122073784","13.9"
"Julian Edelman","WR","6400","12.478899945896915","12.3"
"Tim Hightower","RB","6500","11.21900807485482","17.5"
"Mark Ingram","RB","6000","11.11001535494173","29.2"
"Stephen Gostkowski","PK","4800","10.120842632689868","11"
"Jordan Reed","TE","7400","9.839165353994236","26.5"
"SD","Def","4600","12.512468456090698","13"
"Total","","57400.0","110.095759695","154.74"
