Week,Greed,Predicted Points,Actual Points
2,True,150.87952777417286,85.46000000000001
3,True,150.58798276319055,110.72
4,True,155.4786130024961,119.82000000000002
5,True,154.41927457110052,149.38
6,True,153.9343158938545,111.5
7,True,152.47885599824454,107.62
8,True,149.96252795245715,123.39999999999999
9,True,149.60417465085175,142.46000000000004
10,True,151.63366620913033,141.57999999999998
11,True,148.88977937467465,142.09999999999997
12,True,156.39422577973096,132.44
13,True,153.7323360674975,88.76
14,True,154.7091773072746,138.85999999999999
