"Year","Week","Name","Position","Salary","Predicted points"
"2016","3","Jason Witten","TE","6000","9.89256364048"
"2016","3","BAL","Def","4400","13.1166642337"
"2016","3","Julian Edelman","WR","6700","12.2571843649"
"2016","3","Brandin Cooks","WR","8100","12.8983924507"
"2016","3","Amari Cooper","WR","7700","12.335294349"
"2016","3","Sebastian Janikowski","PK","4600","10.0730398466"
"2016","3","Derek Carr","QB","8100","19.8293521549"
"2016","3","DeMarco Murray","RB","7700","12.782299283"
"2016","3","LeSean McCoy","RB","6700","11.5208131709"
"2016","4","Jason Witten","TE","6000","10.5279880927"
"2016","4","ARI","Def","5300","13.101485888"
"2016","4","Julian Edelman","WR","7200","12.0695353765"
"2016","4","DeSean Jackson","WR","6900","12.0849806965"
"2016","4","Amari Cooper","WR","7600","11.8609006122"
"2016","4","Matt Bryant","PK","4600","10.0778606067"
"2016","4","Dak Prescott","QB","7200","20.4795690275"
"2016","4","Ezekiel Elliott","RB","8100","13.2683613827"
"2016","4","Mark Ingram","RB","6800","12.0336843695"
"2016","5","Jason Witten","TE","5800","10.5415944434"
"2016","5","MIN","Def","4800","12.4019378732"
"2016","5","Mike Evans","WR","7900","12.3520075362"
"2016","5","Michael Crabtree","WR","6900","12.3502545984"
"2016","5","Amari Cooper","WR","7200","12.1593849755"
"2016","5","Dan Bailey","PK","4700","10.0694040752"
"2016","5","Dak Prescott","QB","7300","20.1706210473"
"2016","5","Devonta Freeman","RB","7400","12.2502760142"
"2016","5","Ezekiel Elliott","RB","7900","13.2220388555"
"2016","6","Jason Witten","TE","5600","10.218426322"
"2016","6","DEN","Def","5000","12.4512691883"
"2016","6","Michael Crabtree","WR","7000","12.4650894626"
"2016","6","Julio Jones","WR","8500","12.6135696319"
"2016","6","Amari Cooper","WR","7100","12.4392062849"
"2016","6","Sebastian Janikowski","PK","4700","10.0685412568"
"2016","6","Dak Prescott","QB","7200","19.8936164668"
"2016","6","LeSean McCoy","RB","8200","12.8572204357"
"2016","6","Matt Jones","RB","6500","12.3168943434"
"2016","7","Martellus Bennett","TE","5800","9.79415995038"
"2016","7","DEN","Def","5000","13.4244724358"
"2016","7","Julio Jones","WR","9200","12.6285679"
"2016","7","Julian Edelman","WR","6900","11.8780833536"
"2016","7","Amari Cooper","WR","7900","12.8458987772"
"2016","7","Robbie Gould","PK","0","9.68411667047"
"2016","7","Kirk Cousins","QB","7300","19.380015216"
"2016","7","Le'Veon Bell","RB","8600","12.0895645583"
"2016","7","LeSean McCoy","RB","9000","12.0449967426"
"2016","8","Coby Fleener","TE","5700","10.153317672"
"2016","8","CAR","Def","4500","11.893459406"
"2016","8","Julio Jones","WR","9200","13.0657937446"
"2016","8","Julian Edelman","WR","6500","11.8936435257"
"2016","8","Amari Cooper","WR","7500","12.1580133289"
"2016","8","Cairo Santos","PK","4600","10.0133708044"
"2016","8","Tom Brady","QB","8700","19.8696422125"
"2016","8","Devonta Freeman","RB","6900","11.5603079752"
"2016","8","Mark Ingram","RB","6200","11.2701538674"
"2016","9","Coby Fleener","TE","5800","10.1633509271"
"2016","9","MIA","Def","4700","12.3979942956"
"2016","9","Michael Thomas","WR","5800","11.7066122229"
"2016","9","Michael Crabtree","WR","7000","12.2269588108"
"2016","9","Brandin Cooks","WR","7600","12.4142880412"
"2016","9","Dan Bailey","PK","4800","10.1876088936"
"2016","9","Drew Brees","QB","8600","19.6850221411"
"2016","9","DeMarco Murray","RB","8100","12.1549652307"
"2016","9","Devonta Freeman","RB","7600","11.8590975684"
"2016","10","Delanie Walker","TE","6200","10.3193735399"
"2016","10","BAL","Def","5100","12.6555333046"
"2016","10","Jordy Nelson","WR","7700","12.7886634961"
"2016","10","Dez Bryant","WR","7500","11.9777401764"
"2016","10","Cole Beasley","WR","6500","11.6198272772"
"2016","10","Andrew Franks","PK","4600","10.1960549915"
"2016","10","Dak Prescott","QB","7700","19.6586656068"
"2016","10","DeMarco Murray","RB","7400","12.0534289059"
"2016","10","Devonta Freeman","RB","7000","11.4781247017"
"2016","11","Jason Witten","TE","5500","10.2576865388"
"2016","11","MIA","Def","4800","12.2484030843"
"2016","11","Jordy Nelson","WR","7800","12.7240340454"
"2016","11","Davante Adams","WR","7600","12.2817099066"
"2016","11","Antonio Brown","WR","8900","12.7296458785"
"2016","11","Kai Forbath","PK","0","9.67393254919"
"2016","11","Marcus Mariota","QB","8000","20.2357242421"
"2016","11","DeMarco Murray","RB","8500","12.5950852842"
"2016","11","Ezekiel Elliott","RB","8700","13.0342329743"
"2016","12","Jason Witten","TE","5600","10.3838718182"
"2016","12","SD","Def","4600","12.5124684561"
"2016","12","Julian Edelman","WR","6400","12.4788999459"
"2016","12","Dez Bryant","WR","8000","12.9122983901"
"2016","12","Brandin Cooks","WR","7300","12.4095302803"
"2016","12","Stephen Gostkowski","PK","4800","10.1208426327"
"2016","12","Dak Prescott","QB","8000","20.5040115548"
"2016","12","Ezekiel Elliott","RB","8600","14.1072396627"
"2016","12","Tim Hightower","RB","6500","11.2190080749"
"2016","13","Jason Witten","TE","5500","7.59305752419"
"2016","13","MIN","Def","4500","12.31710115"
"2016","13","Julian Edelman","WR","6100","10.5153322407"
"2016","13","Jamison Crowder","WR","6300","9.77962932772"
"2016","13","Dez Bryant","WR","7400","10.1752601039"
"2016","13","Stephen Gostkowski","PK","4900","9.94982150644"
"2016","13","Dak Prescott","QB","7500","16.5189975609"
"2016","13","DeMarco Murray","RB","8500","10.866548001"
"2016","13","Le'Veon Bell","RB","9100","11.3447317346"
