"Year","Week","Name","Position","Salary","Predicted points"
"2016","2","Antonio Gates","TE","5900.0","8.41150279371"
"2016","2","KC","Def","4700.0","12.7805881485"
"2016","2","Doug Baldwin","WR","7000.0","12.5054020383"
"2016","2","Brandon Marshall","WR","7600.0","13.2202014558"
"2016","2","Antonio Brown","WR","9200.0","14.046845945"
"2016","2","Josh Lambo","PK","4500.0","9.43464822702"
"2016","2","Tyrod Taylor","QB","6900.0","17.9964285714"
"2016","2","Devonta Freeman","RB","7400.0","13.4078543531"
"2016","2","Matt Forte","RB","6800.0","12.7934551873"
"2016","3","Eric Ebron","TE","5600.0","8.1617738912"
"2016","3","KC","Def","4500.0","13.3265045354"
"2016","3","Mike Evans","WR","8000.0","13.0962317477"
"2016","3","Larry Fitzgerald","WR","7600.0","12.2734233496"
"2016","3","DeAndre Hopkins","WR","7900.0","12.4546376553"
"2016","3","Stephen Gostkowski","PK","5000.0","10.3408986096"
"2016","3","Alex Smith","QB","6800.0","18.2285714286"
"2016","3","Latavius Murray","RB","7100.0","13.1416861848"
"2016","3","Matt Forte","RB","7500.0","13.0415152268"
"2016","4","Jason Witten","TE","6000.0","9.66742899535"
"2016","4","SF","Def","4200.0","13.4773551842"
"2016","4","Mike Evans","WR","8000.0","12.9143984213"
"2016","4","Julio Jones","WR","8500.0","13.4068354645"
"2016","4","A.J. Green","WR","8100.0","12.5356641294"
"2016","4","Dustin Hopkins","PK","4500.0","9.83773952128"
"2016","4","Kirk Cousins","QB","7600.0","19.1178571429"
"2016","4","DeAngelo Williams","RB","5900.0","13.1424109365"
"2016","4","Devonta Freeman","RB","7200.0","13.4295962809"
"2016","5","Jason Witten","TE","5800.0","9.40892092484"
"2016","5","TB","Def","4000.0","12.2653575549"
"2016","5","Mike Evans","WR","7900.0","12.8846663608"
"2016","5","Larry Fitzgerald","WR","7200.0","12.2795606896"
"2016","5","Amari Cooper","WR","7200.0","12.1768883983"
"2016","5","Stephen Gostkowski","PK","5100.0","10.2706681412"
"2016","5","Marcus Mariota","QB","7000.0","16.9392857143"
"2016","5","Ezekiel Elliott","RB","7900.0","14.8921879329"
