"Year","Week","Name","Position","Salary","Predicted points"
"2016","2","Greg Olsen","TE","7600.0","20.7"
"2016","2","PHI","Def","4800.0","13.0"
"2016","2","Kenny Britt","WR","5200.0","12.4"
"2016","2","Jordy Nelson","WR","8200.0","15.8"
"2016","2","Brandon Marshall","WR","7600.0","13.1"
"2016","2","Nick Folk","PK","4500.0","13.0"
"2016","2","Cam Newton","QB","9000.0","30.82"
"2016","2","Matt Forte","RB","6800.0","29.9"
"2016","2","Ryan Mathews","RB","6300.0","16.0"
"2016","3","Greg Olsen","TE","7800.0","9.4"
"2016","3","PHI","Def","4500.0","17.0"
"2016","3","Steve Smith","WR","6300.0","12.7"
"2016","3","Jordy Nelson","WR","8300.0","25.1"
"2016","3","DeSean Jackson","WR","6800.0","18.1"
"2016","3","Matt Prater","PK","4600.0","12.0"
"2016","3","Drew Brees","QB","9000.0","26.94"
"2016","3","Darren Sproles","RB","5200.0","21.7"
"2016","3","LeSean McCoy","RB","6700.0","25.1"
"2016","4","Greg Olsen","TE","7900.0","18.6"
"2016","4","BUF","Def","4300.0","15.0"
"2016","4","Steve Smith","WR","6100.0","21.1"
"2016","4","Doug Baldwin","WR","7400.0","7.4"
"2016","4","Brandon Marshall","WR","7500.0","16.9"
"2016","4","Mike Nugent","PK","4500.0","19.0"
"2016","4","Joe Flacco","QB","7700.0","22.02"
"2016","4","Frank Gore","RB","6100.0","18.0"
"2016","4","LeSean McCoy","RB","7600.0","19.8"
"2016","5","Greg Olsen","TE","8000.0","22.6"
"2016","5","WAS","Def","4300.0","15.0"
"2016","5","Randall Cobb","WR","7100.0","15.3"
"2016","5","Kenny Britt","WR","5700.0","10.0"
"2016","5","Brandon Marshall","WR","7600.0","21.4"
"2016","5","Sebastian Janikowski","PK","4800.0","17.0"
"2016","5","Philip Rivers","QB","8300.0","28.36"
"2016","5","LeSean McCoy","RB","7800.0","16.8"
"2016","5","Ryan Mathews","RB","6300.0","14.0"
"2016","6","Rob Gronkowski","TE","8400.0","25.7"
"2016","6","PHI","Def","4500.0","14.0"
"2016","6","Randall Cobb","WR","7000.0","14.8"
"2016","6","Kenny Britt","WR","5800.0","29.1"
"2016","6","DeSean Jackson","WR","6400.0","7.5"
"2016","6","Connor Barth","PK","4500.0","10.0"
"2016","6","Drew Brees","QB","8500.0","33.6"
"2016","6","LeSean McCoy","RB","8200.0","33.2"
"2016","6","Ryan Mathews","RB","6500.0","6.0"
"2016","7","Rob Gronkowski","TE","8500.0","17.3"
"2016","7","PHI","Def","4400.0","24.0"
"2016","7","Randall Cobb","WR","6700.0","23.1"
"2016","7","Doug Baldwin","WR","7100.0","9.9"
"2016","7","Brandon Marshall","WR","7400.0","5.4"
"2016","7","Sebastian Janikowski","PK","4600.0","18.0"
"2016","7","Drew Brees","QB","8500.0","25.68"
"2016","7","Matt Forte","RB","6700.0","27.4"
"2016","7","Ryan Mathews","RB","5800.0","6.8"
"2016","8","Rob Gronkowski","TE","8100.0","19.4"
"2016","8","CHI","Def","4100.0","9.0"
"2016","8","Jordy Nelson","WR","7500.0","17.4"
"2016","8","Dez Bryant","WR","7300.0","19.3"
"2016","8","Brandon Marshall","WR","7400.0","8.8"
"2016","8","Stephen Gostkowski","PK","4900.0","13.0"
"2016","8","Aaron Rodgers","QB","8800.0","33.84"
"2016","8","Matt Forte","RB","7300.0","22.8"
"2016","8","Tim Hightower","RB","4500.0","10.7"
"2016","9","Jimmy Graham","TE","6700.0","26.3"
"2016","9","OAK","Def","4200.0","7.0"
"2016","9","Kenny Britt","WR","6000.0","12.9"
"2016","9","Jordy Nelson","WR","8200.0","18.9"
"2016","9","Doug Baldwin","WR","7000.0","11.9"
"2016","9","Matt Bryant","PK","4900.0","16.0"
"2016","9","Aaron Rodgers","QB","9100.0","27.18"
"2016","9","Matt Forte","RB","7500.0","16.2"
"2016","9","Tim Hightower","RB","6100.0","16.7"
"2016","10","Rob Gronkowski","TE","8000.0","7.1"
"2016","10","BAL","Def","5100.0","14.0"
"2016","10","Steve Smith","WR","5400.0","14.5"
"2016","10","Jordy Nelson","WR","7700.0","24.6"
"2016","10","Doug Baldwin","WR","6900.0","26.9"
"2016","10","Dan Bailey","PK","4900.0","14.0"
"2016","10","Aaron Rodgers","QB","9000.0","29.54"
"2016","10","Matt Forte","RB","7100.0","11.9"
"2016","10","Ryan Mathews","RB","5500.0","28.9"
"2016","11","Jimmy Graham","TE","6500.0","12.1"
"2016","11","BUF","Def","4300.0","9.0"
"2016","11","Jordy Nelson","WR","7800.0","10.3"
"2016","11","Doug Baldwin","WR","6700.0","17.0"
"2016","11","DeSean Jackson","WR","6000.0","13.1"
"2016","11","Dan Bailey","PK","5100.0","9.0"
"2016","11","Aaron Rodgers","QB","9100.0","29.34"
"2016","11","LeSean McCoy","RB","7500.0","11.5"
"2016","11","Tim Hightower","RB","6000.0","16.6"
"2016","12","Jimmy Graham","TE","6900.0","7.7"
"2016","12","BAL","Def","4500.0","11.0"
"2016","12","Kenny Britt","WR","7100.0","13.7"
"2016","12","DeSean Jackson","WR","5900.0","19.8"
"2016","12","Brandon Marshall","WR","7100.0","15.7"
"2016","12","Matt Prater","PK","4500.0","12.0"
"2016","12","Drew Brees","QB","8600.0","32.5"
"2016","12","LeSean McCoy","RB","8100.0","28.4"
"2016","12","Tim Hightower","RB","6500.0","17.5"
"2016","13","Jimmy Graham","TE","6400.0","15.3"
"2016","13","CHI","Def","4500.0","15.0"
"2016","13","Kenny Britt","WR","6900.0","13.7"
"2016","13","Jordy Nelson","WR","7400.0","21.8"
"2016","13","Doug Baldwin","WR","6900.0","10.0"
"2016","13","Matt Prater","PK","4800.0","18.0"
"2016","13","Joe Flacco","QB","7300.0","30.24"
"2016","13","LeSean McCoy","RB","8400.0","22.6"
"2016","13","Matt Forte","RB","6900.0","9.4"
"2016","14","Greg Olsen","TE","6400.0","10.7"
"2016","14","CHI","Def","4200.0","14.0"
"2016","14","Kenny Britt","WR","6900.0","11.7"
"2016","14","Jordy Nelson","WR","7100.0","19.1"
"2016","14","DeSean Jackson","WR","5800.0","17.7"
"2016","14","Nick Folk","PK","4500.0","11.0"
"2016","14","Tom Brady","QB","8600.0","27.14"
"2016","14","LeSean McCoy","RB","8300.0","19.8"
"2016","14","Matt Forte","RB","7700.0","0.8"
