"Year","Week","Name","Position","Salary","Predicted points"
"2016","2","Jordan Reed","TE","7400.0","11.5435492939"
"2016","2","KC","Def","4700.0","14.216012445"
"2016","2","Sammy Watkins","WR","0.0","12.0480469194"
"2016","2","Julio Jones","WR","9300.0","14.7018843124"
"2016","2","Antonio Brown","WR","9200.0","14.1202872992"
"2016","2","Dan Carpenter","PK","4600.0","9.67075582398"
"2016","2","Russell Wilson","QB","8400.0","19.2896857143"
"2016","2","David Johnson","RB","9000.0","13.4887859321"
"2016","2","Devonta Freeman","RB","7400.0","13.1984332866"
"2016","3","Jason Witten","TE","6000.0","8.8803464772"
"2016","3","TB","Def","4500.0","11.5070517795"
"2016","3","Mike Evans","WR","8000.0","13.7506868036"
"2016","3","Larry Fitzgerald","WR","7600.0","12.2172062696"
"2016","3","Brandin Cooks","WR","8100.0","13.275820083"
"2016","3","Stephen Gostkowski","PK","5000.0","9.86452352118"
"2016","3","Alex Smith","QB","6800.0","17.3340285714"
"2016","3","Isaiah Crowell","RB","6900.0","12.3764639505"
"2016","3","Latavius Murray","RB","7100.0","13.3259564403"
"2016","4","Jason Witten","TE","6000.0","10.6081503145"
"2016","4","NYG","Def","4400.0","11.0012527469"
"2016","4","Mike Evans","WR","8000.0","13.0797246938"
"2016","4","Julio Jones","WR","8500.0","14.3476853476"
"2016","4","DeSean Jackson","WR","6900.0","11.5088925049"
"2016","4","Dan Bailey","PK","4600.0","9.72417015746"
"2016","4","Kirk Cousins","QB","7600.0","18.3482857143"
"2016","4","DeAngelo Williams","RB","5900.0","13.1717455256"
"2016","4","Ezekiel Elliott","RB","8100.0","16.0357068794"
"2016","5","Martellus Bennett","TE","6300.0","10.4718214462"
"2016","5","TB","Def","4000.0","10.1110859252"
"2016","5","Mike Evans","WR","7900.0","13.8871956165"
"2016","5","Larry Fitzgerald","WR","7200.0","12.1543733151"
"2016","5","Amari Cooper","WR","7200.0","11.9277840848"
"2016","5","Dan Carpenter","PK","4600.0","9.32105874547"
"2016","5","Ryan Tannehill","QB","7100.0","15.965"
"2016","5","Ezekiel Elliott","RB","7900.0","16.0007467159"
"2016","5","LeSean McCoy","RB","7800.0","15.8145231845"
"2016","6","Jason Witten","TE","5600.0","8.86504418295"
"2016","6","BAL","Def","4500.0","12.3743203347"
"2016","6","Michael Crabtree","WR","7000.0","11.7972799334"
"2016","6","Julio Jones","WR","8500.0","13.6952568362"
"2016","6","Amari Cooper","WR","7100.0","12.8885770329"
"2016","6","Matt Bryant","PK","4600.0","9.28381762955"
"2016","6","Kirk Cousins","QB","7400.0","18.7244571429"
"2016","6","DeMarco Murray","RB","8800.0","16.9209133947"
"2016","6","Matt Jones","RB","6500.0","13.1053131591"
"2016","7","Martellus Bennett","TE","5800.0","10.9701864086"
"2016","7","BAL","Def","4800.0","15.4154445633"
"2016","7","Julian Edelman","WR","6900.0","11.5468361135"
"2016","7","Antonio Brown","WR","9000.0","14.387422374"
"2016","7","Amari Cooper","WR","7900.0","13.6904606193"
"2016","7","Sebastian Janikowski","PK","4600.0","9.58105743025"
"2016","7","Kirk Cousins","QB","7300.0","18.913"
"2016","7","Jordan Howard","RB","7000.0","12.4431585473"
"2016","7","Matt Jones","RB","6700.0","14.4939225296"
