"Year","Week","Name","Position","Salary","Predicted points"
"2016","2","Eric Ebron","TE","5500.0","8.00900815091"
"2016","2","KC","Def","4700.0","14.216012445"
"2016","2","Mike Evans","WR","8100.0","12.1002427101"
"2016","2","Doug Baldwin","WR","7000.0","12.1793743988"
"2016","2","Brandon Marshall","WR","7600.0","12.9978357294"
"2016","2","Josh Lambo","PK","4500.0","9.11297990601"
"2016","2","Russell Wilson","QB","8400.0","19.2896857143"
"2016","2","Devonta Freeman","RB","7400.0","13.1984332866"
"2016","2","Matt Forte","RB","6800.0","12.4371488034"
"2016","3","Coby Fleener","TE","5500.0","8.38725237793"
"2016","3","TB","Def","4500.0","11.5070517795"
"2016","3","Mike Evans","WR","8000.0","13.7506868036"
"2016","3","Brandin Cooks","WR","8100.0","13.275820083"
"2016","3","Allen Robinson","WR","7900.0","12.6402450121"
"2016","3","Stephen Gostkowski","PK","5000.0","9.86452352118"
"2016","3","Alex Smith","QB","6800.0","17.3340285714"
"2016","3","Isaiah Crowell","RB","6900.0","12.3764639505"
"2016","3","Latavius Murray","RB","7100.0","13.3259564403"
"2016","4","Jason Witten","TE","6000.0","10.6081503145"
"2016","4","NYG","Def","4400.0","11.0012527469"
"2016","4","Mike Evans","WR","8000.0","13.0797246938"
"2016","4","Julio Jones","WR","8500.0","14.3476853476"
"2016","4","Allen Robinson","WR","8300.0","13.1084380838"
"2016","4","Dan Bailey","PK","4600.0","9.72417015746"
"2016","4","Kirk Cousins","QB","7600.0","18.3482857143"
"2016","4","DeAngelo Williams","RB","5900.0","13.1717455256"
"2016","4","Matt Jones","RB","6600.0","13.2398478651"
"2016","5","Cameron Brate","TE","5400.0","8.43118788345"
"2016","5","TB","Def","4000.0","10.1110859252"
"2016","5","Mike Evans","WR","7900.0","13.8871956165"
"2016","5","Larry Fitzgerald","WR","7200.0","12.1543733151"
"2016","5","Amari Cooper","WR","7200.0","11.9277840848"
"2016","5","Chris Boswell","PK","4700.0","9.35818583841"
"2016","5","Matt Ryan","QB","7700.0","17.3506857143"
"2016","5","Ezekiel Elliott","RB","7900.0","16.0007467159"
"2016","5","LeSean McCoy","RB","7800.0","15.8145231845"
"2016","6","Jason Witten","TE","5600.0","8.86504418295"
"2016","6","BAL","Def","4500.0","12.3743203347"
"2016","6","Marvin Jones","WR","7700.0","12.2288699367"
"2016","6","Julio Jones","WR","8500.0","13.6952568362"
"2016","6","Amari Cooper","WR","7100.0","12.8885770329"
"2016","6","Matt Bryant","PK","4600.0","9.28381762955"
"2016","6","Kirk Cousins","QB","7400.0","18.7244571429"
"2016","6","Ezekiel Elliott","RB","8100.0","15.8807141991"
"2016","6","Matt Jones","RB","6500.0","13.1053131591"
"2016","7","Martellus Bennett","TE","5800.0","10.9701864086"
"2016","7","BAL","Def","4800.0","15.4154445633"
"2016","7","T.Y. Hilton","WR","7800.0","11.9781054075"
"2016","7","Marvin Jones","WR","7700.0","11.9156416405"
"2016","7","Amari Cooper","WR","7900.0","13.6904606193"
"2016","7","Matt Bryant","PK","4700.0","9.89542172762"
"2016","7","Kirk Cousins","QB","7300.0","18.913"
"2016","7","Jordan Howard","RB","7000.0","12.4431585473"
"2016","7","Matt Jones","RB","6700.0","14.4939225296"
"2016","8","Martellus Bennett","TE","5400.0","9.01192129842"
"2016","8","ARI","Def","4600.0","11.2425426116"
"2016","8","Marvin Jones","WR","7400.0","12.4755976568"
"2016","8","Jordy Nelson","WR","7500.0","11.9066794019"
"2016","8","Amari Cooper","WR","7500.0","12.8717350553"
"2016","8","Sebastian Janikowski","PK","4800.0","9.35657128025"
